file,line_facs,left,right,form,score,source,model,decided_on,note
ONB_wsb_19140214.xml,facs_14_tr_1784277984_tl_17,zu,kommen,split,-4.92,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Infinitivkonstruktion (zu + Verb) mit einer Richtungsangabe („nach Wien“), nicht um das Verb „zukommen“ im Sinne von „nahekommen“ oder „zustehen“."
ONB_wsb_19140214.xml,facs_6_tr_1784278000_tl_2,Palace,Hotel,split,-13.69,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um den Eigennamen eines Hotels; die Getrenntschreibung ist hier die gängige Form.
ONB_wsb_19140214.xml,facs_7_tr_1784278014_tl_1,An,der,join,-10.87,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um einen Namen in der Struktur 'Freiherr von [Familienname] zu [Ort]'. Die Wortfolge 'v Ander Lan z Hochbrunn' ist eine OCR-fragmentierte Form von 'von Anderlan zu Hochbrunn'; daher muss 'An der' zusammengesetzt werden, um den Familiennamen zu bilden."
ONB_wsb_19140222.xml,facs_13_tr_1784277975_tl_4,so,wie,join,+15.00,llm,google/gemma-4-31b,2026-08-31,"Hier wird 'sowie' als koordinierende Konjunktion im Sinne von 'und auch' verwendet, um eine Aufzählung von Personen zu verbinden, nicht als Vergleich."
ONB_wsb_19140222.xml,facs_15_tr_1784277989_tl_7,Grand,Hotel,split,-13.63,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Eigennamen eines Hotels („Grand Hotel Villa Igiea“), der im frühen 20. Jahrhundert üblicherweise getrennt geschrieben wurde."
ONB_wsb_19140222.xml,facs_20_tr_1784277990_tl_1,Kunstdruck,Ausgabe,join,+0.64,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um ein zusammengesetztes Substantiv (Kompositum), das eine spezifische Art der Ausgabe bezeichnet. In der deutschen Orthographie werden solche Begriffe zusammengeschrieben; der OCR-Trennstrich ist hier lediglich als Zeilenumbruchmarker zu werten."
ONB_wsb_19140222.xml,facs_3_tr_1784277989_tl_2,Maria,Theresia,split,-8.88,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Personennamen der Kaiserin Maria Theresia, der üblicherweise getrennt geschrieben wird."
ONB_wsb_19140228.xml,facs_17_tr_1784277942_tl_23,nach,dem,split,-11.43,llm,google/gemma-4-31b,2026-08-31,"Syntax: 'Witwe nach dem' ist eine präpositionale Konstruktion (Präposition + Artikel), analog zum Beispiel in den Grundsätzen."
ONB_wsb_19140228.xml,facs_4_tr_1784277955_tl_11,bei,den,join,-5.05,llm,google/gemma-4-31b,2026-08-31,Das Verb 'folgte' verlangt ein Dativ-Objekt; 'beiden Majestäten' fungiert hier als dieses Objekt. Die Konstruktion 'bei den Majestäten folgte' ist syntaktisch nicht korrekt.
ONB_wsb_19140228.xml,facs_5_r_2_tl_22,bei,der,split,-14.81,llm,google/gemma-4-31b,2026-08-31,Präposition 'bei' mit Artikel 'der' vor dem Substantiv 'Feier'; ergibt die sinnvolle lokale/situative Bestimmung 'bei der Feier vertreten'.
ONB_wsb_19140228.xml,facs_5_r_2_tl_52,Maria,Anna,split,-5.29,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um die Vornamen einer Person (Maria Anna), die zusammen mit ihrem Ehepartner Joseph genannt wird."
ONB_wsb_19140307.xml,facs_16_tr_1784277933_tl_10,seit,dem,split,-10.15,llm,google/gemma-4-31b,2026-08-31,"„seit“ ist hier eine Präposition, die sich auf das folgende Datum („dem 27 v M“ für „dem 27. vorigen Monats“) bezieht."
ONB_wsb_19140307.xml,facs_17_tr_1784277915_tl_3,Franz,Josef,split,-12.25,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Namen des Kaisers (Franz Josef), der in dieser Zeit standardmäßig als zwei Wörter geschrieben wurde. Die Syntax deutet auf eine Aufzählung von Personen hin (Erzherzog Karl und Franz Josef), wobei die Getrenntschreibung des Namens 'Franz Josef' beibehalten wird."
ONB_wsb_19140307.xml,facs_3_r_tl_8,Sekt,Chef,period,+0.80,llm,google/gemma-4-31b,2026-08-31,"Der Kontext „im Justizmin Dr“ (Justizministerium) weist eindeutig auf den Verwaltungsrang des „Sektionschefs“ hin. In zeitgenössischen Wiener Texten ist „Sekt.“ eine gängige Abkürzung für „Sektions-“, weshalb die Lesart „Sekt. Chef“ hier am plausibelsten ist."
ONB_wsb_19140307.xml,facs_3_tr_1784277932_tl_7,Palace,Hotel,split,-7.22,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um den Eigennamen eines Hotels; die getrennte Schreibweise »Palace Hotel« ist für diese Art von Namen (internationaler Stil) typisch.
ONB_wsb_19140307.xml,facs_4_tr_1784277931_tl_11,Buckingham,Palace,split,-7.05,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Eigennamen des Gebäudes, der standardmäßig getrennt geschrieben wird."
ONB_wsb_19140307.xml,facs_5_tr_1784277944_tl_10,bei,der,split,-14.50,llm,google/gemma-4-31b,2026-08-31,Syntax: Präposition 'bei' gefolgt vom Artikel 'der' vor dem Namen der Großfürstin.
ONB_wsb_19140314.xml,facs_13_tr_1784277889_tl_1,Botschafter,in,split,-7.40,llm,google/gemma-4-31b,2026-08-31,"Syntax: 'Botschafter' ist hier die Berufsbezeichnung, gefolgt von der Präposition 'in' und dem Ort 'St Petersburg'."
ONB_wsb_19140314.xml,facs_15_tr_1784277902_tl_10,Maria,Schul,split,-17.08,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um den Eigennamen des Stiftes 'Maria Schul' in Brünn; die getrennte Schreibweise ist hier die korrekte Bezeichnung.
ONB_wsb_19140314.xml,facs_18_tr_1784277896_tl_1,Kunstdruck,Ausgabe,hyphen,+0.64,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um die Bezeichnung einer spezifischen Edition (Kunstdruck-Ausgabe), was im Kontext von Preislisten und Katalogen dieser Zeit typischerweise als Kompositum mit Bindestrich oder zusammengeschrieben wird."
ONB_wsb_19140314.xml,facs_3_tr_1784277897_tl_1,Franz,Josef,split,-14.15,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Aufzählung von Vornamen eines Personennamens (Erzherzog Karl Franz Josef), die im frühen 20. Jahrhundert üblicherweise getrennt geschrieben wurden."
ONB_wsb_19140314.xml,facs_5_tr_1784277917_tl_4,Franz,Josef,split,-14.15,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Aufzählung von Erzherzogspaaren (hier nur die Ehemänner genannt): Karl, Franz Josef und Peter Ferdinand. 'Franz Josef' ist ein Eigenname und wird getrennt geschrieben."
ONB_wsb_19140321.xml,facs_14_tr_1784277893_tl_8,so,wie,join,+7.77,llm,google/gemma-4-31b,2026-08-31,"Hier wird 'sowie' als additive Konjunktion verwendet, um zwei Personen aufzuzählen (entspricht 'und auch')."
ONB_wsb_19140321.xml,facs_15_tr_1784277889_tl_6,Franz,Josef,split,-15.87,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um die Nennung eines Vornamens (Franz Josef) vor dem Familiennamen Auersperg; die getrennte Schreibweise ist hier der Standard.
ONB_wsb_19140321.xml,facs_17_tr_1784277862_tl_8,nach,dem,split,-6.39,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um die feste Wendung „Witwe nach dem [Name]“, wobei „nach“ als Präposition und „dem“ als Artikel fungiert; eine Konjunktion („nachdem“) ist syntaktisch an dieser Stelle nicht sinnvoll."
ONB_wsb_19140321.xml,facs_20_tr_1784277889_tl_1,Kunstdruck,Ausgabe,join,+0.64,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um ein zusammengesetztes Substantiv (Kompositum), das eine spezifische Art der Ausgabe bezeichnet. In der deutschen Orthographie werden solche Begriffe zusammengeschrieben; der OCR-Trennstrich ist hier lediglich als Zeilenumbruchmarker zu werten."
ONB_wsb_19140321.xml,facs_5_tr_1784277866_tl_2,nach,dem,split,-18.55,llm,google/gemma-4-31b,2026-08-31,Hier handelt es sich um die Präposition 'nach' gefolgt vom Artikel 'dem'. Die Form 'dem Kontinente' ist eine historisch belegte Dativ-Endung im Singular; ein 'nachdem' als Konjunktion ergibt syntaktisch keinen Sinn.
ONB_wsb_19140321.xml,facs_5_tr_1784277884_tl_30,Sekt,Chef,hyphen,+0.35,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um die Abkürzung des österreichischen Dienstgrades „Sektionschef“. Bei der Abkürzung eines zusammengesetzten Wortes ist im frühen 20. Jahrhundert die Kopplung mittels Bindestrich (Sekt.-Chef) die korrekte und übliche Form.
ONB_wsb_19140321.xml,facs_8_tr_1784277874_tl_15,so,wie,join,+16.06,llm,google/gemma-4-31b,2026-08-31,"Hier wird 'sowie' als Konjunktion im Sinne von 'und auch' verwendet, um eine Aufzählung von Personen zu ergänzen."
ONB_wsb_19140328.xml,facs_10_tr_1784277843_tl_1,bei,den,split,-0.82,llm,google/gemma-4-31b,2026-08-31,"Syntaktisch handelt es sich um eine präpositionale Attributphrase („bei den Lesern so beliebte“), die ein nachfolgendes Substantiv näher bestimmt; „beiden“ würde grammatikalisch nicht zu dem Dativ „Lesern“ passen."
ONB_wsb_19140328.xml,facs_10_tr_1784277857_tl_8,viel,mehr,join,+3.61,llm,google/gemma-4-31b,2026-08-31,"Das Wort 'vielmehr' fungiert hier als Konjunktionaladverb im Sinne von 'stattdessen' oder 'eher', was syntaktisch an dieser Position vor der temporalen Angabe 'von nun an' stimmig ist."
ONB_wsb_19140328.xml,facs_15_tr_1784277862_tl_3,hier,zu,split,-16.44,llm,google/gemma-4-31b,2026-08-31,Die Syntax erfordert eine Trennung: „von hier“ (Herkunftsangabe) und „zu mehrtägigem Aufenthalte“ (Zweck/Dauer des Besuchs). Eine Zusammenschreibung zu „hierzu“ ist grammatikalisch unmöglich („von hierzu“).
ONB_wsb_19140328.xml,facs_4_tr_1784277846_tl_5,Sekt,Chef,hyphen,+0.35,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den österreichischen Dienstgrad 'Sektionschef'. Bei der Abkürzung eines zusammengesetzten Wortes (Kompositum), bei dem nur der erste Teil abgekürzt wird, ist die Schreibweise mit Bindestrich (Sekt.-Chef) im historischen Kontext üblich."
ONB_wsb_19140328.xml,facs_5_tr_1784277862_tl_14,hier,auf,join,+4.81,llm,google/gemma-4-31b,2026-08-31,"Das Wort 'hierauf' fungiert hier als Temporaladverb im Sinne von 'danach' oder 'im Anschluss daran', was der logischen Abfolge von Souper und Galavorstellung entspricht."
ONB_wsb_19140328.xml,facs_7_tr_1784277834_tl_1,Statthalter,in,split,-9.78,llm,google/gemma-4-31b,2026-08-31,Syntax: Es handelt sich um die Berufsbezeichnung „Statthalter“ gefolgt von der lokalen Bestimmung „in Böhmen“.
ONB_wsb_19140404.xml,facs_13_tr_1784277821_tl_20,Maria,Schul,split,-17.08,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Eigennamen des Damenstifts in Brünn (Stift Maria Schul), der üblicherweise getrennt geschrieben wird."
ONB_wsb_19140404.xml,facs_2_tr_1784277826_tl_16,Maria,Anna,split,-14.29,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um zwei gegebene Vornamen einer Person (Freifrau Maria Anna), die im Deutschen üblicherweise getrennt geschrieben werden."
ONB_wsb_19140404.xml,facs_9_r_3_tl_4,wie,der,join,+13.10,llm,google/gemma-4-31b,2026-08-31,Das Wort 'wieder' ergibt im Kontext ('langten ... wieder auf ihrer Herrschaft') einen sinnvollen syntaktischen Zusammenhang; eine Trennung in 'wie der' ist grammatikalisch nicht plausibel.
ONB_wsb_19140404.xml,facs_9_tr_1784277831_tl_9,Grand,Hotel,split,-15.29,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um die Bezeichnung eines Luxushotels, bei der im frühen 20. Jahrhundert die Getrenntschreibung als Eigenname bzw. feststehender Begriff üblich war."
ONB_wsb_19140411.xml,facs_10_tr_1784277807_tl_7,Marie,Therese,split,-15.15,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Doppelnamen einer Person (Erzherzogin Marie Therese). Die Syntax „die Erzherzoginnen [Name 1] und [Name 2]“ belegt, dass es zwei Personen sind; eine Aufzählung von drei Personen würde ein Komma nach dem ersten Namen erfordern."
ONB_wsb_19140411.xml,facs_13_tr_1784277802_tl_7,an,deren,join,+12.80,llm,google/gemma-4-31b,2026-08-31,"Das Wort 'anderen' fungiert hier als Adjektiv im Plural, das sich auf 'Bildern' bezieht ('in mehreren anderen Bildern'). Eine Trennung in Präposition und Relativpronomen wäre syntaktisch nicht sinnvoll."
ONB_wsb_19140411.xml,facs_18_tr_1784277805_tl_2,Kunstdruck,Ausgabe,join,+0.64,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um ein zusammengesetztes Substantiv (Kompositum), das eine spezifische Art der Ausgabe bezeichnet. In der deutschen Orthographie werden solche Begriffe zusammengeschrieben; der OCR-Trennstrich ist hier lediglich als Zeilenumbruchmarker zu werten."
ONB_wsb_19140411.xml,facs_3_tr_1784277797_tl_5,nach,dem,split,-15.95,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Präpositionalphrase (Präposition 'nach' + Artikel 'dem'), da ein Nominalgefüge folgt; die Konjunktion 'nachdem' würde einen Nebensatz mit finitem Verb erfordern."
ONB_wsb_19140411.xml,facs_3_tr_1784277810_tl_31,nach,dem,split,-8.16,llm,google/gemma-4-31b,2026-08-31,"Hier handelt es sich um die Präposition 'nach' gefolgt vom Artikel 'dem' und dem Eigennamen 'Achilleion', was eine räumliche Abfolge beschreibt."
ONB_wsb_19140411.xml,facs_5_tr_1784277781_tl_6,so,wie,join,+11.66,llm,google/gemma-4-31b,2026-08-31,"Hier wird 'sowie' als koordinierende Konjunktion im Sinne von 'und auch' verwendet, um eine Aufzählung zu ergänzen."
ONB_wsb_19140411.xml,facs_5_tr_1784277782_tl_2,so,wie,join,+5.92,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine additive Konjunktion im Sinne von „und auch“, was in dieser Zeit üblicherweise zusammengeschrieben wurde."
ONB_wsb_19140411.xml,facs_8_tr_1784277824_tl_1,nach,dem,split,-18.75,llm,google/gemma-4-31b,2026-08-31,Präposition 'nach' mit dem Zielort 'dem Sudan'
ONB_wsb_19140411.xml,facs_9_tr_1784277822_tl_7,nach,dem,split,-10.37,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um die feste Wendung „Witwe nach dem [Name]“, wie sie in gesellschaftlichen Anzeigen dieser Zeit üblich ist (vgl. Beispiel „Witwe nach dem Grafen Thaddäus“). Auch wenn der Name hier fehlt oder durch eine Jahreszahl ersetzt wurde, bleibt die präpositionale Struktur wahrscheinlich."
ONB_wsb_19140418.xml,facs_12_tr_1784277784_tl_2,hier,für,split,-13.72,llm,google/gemma-4-31b,2026-08-31,Die Syntax 'von hier' (lokale Herkunft) gefolgt von 'für drei Wochen' (zeitliche Dauer) erfordert eine Getrenntschreibung; 'von hierfür' ist grammatikalisch nicht möglich.
ONB_wsb_19140418.xml,facs_15_tr_1784277777_tl_16,An,der,split,-6.60,llm,google/gemma-4-31b,2026-08-31,Syntax: Präposition 'an' gefolgt vom Artikel 'der' vor dem Substantiv 'Börse'.
ONB_wsb_19140418.xml,facs_16_tr_1784277776_tl_1,Kunstdruck,Ausgabe,hyphen,+0.64,llm,google/gemma-4-31b,2026-08-31,Es handelt sich um eine zusammengesetzte Bezeichnung für eine spezielle Edition (Kunstdruck-Ausgabe) in einer Preisliste.
ONB_wsb_19140418.xml,facs_3_l_3,Franz,Josef,split,-16.02,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine Aufzählung von Vornamen eines Personennamens (Erzherzog Karl Franz Josef), die im Deutschen getrennt geschrieben werden."
ONB_wsb_19140418.xml,facs_3_tr_1784277765_tl_6,Franz,Josef,split,-10.39,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Vornamen des Kaisers bzw. Erzherzogs Franz Josef, der im frühen 20. Jahrhundert üblicherweise getrennt geschrieben wurde."
ONB_wsb_19140418.xml,facs_4_tr_1784277760_tl_17,bei,den,split,+0.29,llm,google/gemma-4-31b,2026-08-31,"Syntax: Es handelt sich um eine präpositionale Bestimmung (Präposition 'bei' + Artikel 'den'), die den Aufenthalt oder die Zugehörigkeit des Malers Marschall zu den deutschen Majestäten beschreibt."
ONB_wsb_19140418.xml,facs_7_tr_1784277771_tl_12,Anne,Marie,split,-2.00,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um zwei Personen mit Doppelnamen; da der erste Name 'Alain Louis' getrennt geschrieben ist, ist die parallele Getrenntschreibung von 'Anne Marie' am wahrscheinlichsten."
ONB_wsb_19140418.xml,facs_8_tr_1784277780_tl_17,Botschafter,in,split,-16.72,llm,google/gemma-4-31b,2026-08-31,Syntax: 'Botschafter in Washington' bezeichnet die Funktion und den Ort; zudem widerspricht das Maskulinum 'der frühere' der weiblichen Form 'Botschafterin'.
ONB_wsb_19140418.xml,facs_8_tr_1784277780_tl_5,in,dem,split,-13.86,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um eine lokale Bestimmung (Präposition + Artikel), nicht um die Konjunktion „indem“."
ONB_wsb_19140425.xml,facs_12_tr_1784277736_tl_4,nach,dem,split,-16.35,llm,google/gemma-4-31b,2026-08-31,Präposition 'nach' gefolgt vom Artikel 'dem' in der Konstruktion 'Witwe nach jemandem'.
ONB_wsb_19140425.xml,facs_15_r_2_tl_19,bei,den,join,+4.02,llm,google/gemma-4-31b,2026-08-31,Syntax: 'die beiden Staatsober[häupter]' fungiert hier als Subjekt/Objekt mit dem Numerale 'beiden'; eine Getrenntschreibung ('bei den') wäre grammatikalisch nicht sinnvoll.
ONB_wsb_19140425.xml,facs_19_tr_1784277753_tl_3,des,gleichen,join,-0.24,llm,google/gemma-4-31b,2026-08-31,"Das Wort „desgleichen“ fungiert hier als Adverb im Sinne von „ebenso“ oder „gleichfalls“ und leitet einen neuen Satzteil ein („Desgleichen müssen Kreuzer und...“). Eine Getrenntschreibung („des gleichen“) ist syntaktisch nicht möglich, da kein nachfolgendes Substantiv vorhanden ist, auf das sich das Adjektiv beziehen könnte, bevor das Verb „müssen“ folgt."
ONB_wsb_19140425.xml,facs_2_tr_1784277737_tl_9,Monarch,in,split,-7.28,llm,google/gemma-4-31b,2026-08-31,Der Artikel 'der' verlangt im Nominativ das maskuline Substantiv 'Monarch'; 'in gewohnter Weise' ist eine präpositionale Bestimmung.
ONB_wsb_19140425.xml,facs_4_tr_1784277757_tl_1,Buckingham,Palace,split,-10.39,llm,google/gemma-4-31b,2026-08-31,"Es handelt sich um den Eigennamen des Buckingham Palace, der standardmäßig getrennt geschrieben wird."
