left,right,left_correct,right_correct,confidence,approved,source,model,decided_on,note
Adeo,*,Adel,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Adel: Im Kontext einer Zeitschrift über Gesellschaft und in Verbindung mit 'Venedig' ist der 'venezianische Adel' ein sehr wahrscheinlicher Begriff; zudem weist die hohe Korpusfrequenz auf 'Adel' hin, währe"
Agrar,*,Agram,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Agram: Agram ist die historische Bezeichnung für Zagreb; 'Aufenthalte in Agram' ergibt im Kontext Sinn, während 'in Agrar' grammatikalisch unplausibel ist."
Agypter,*,Agypten,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Agypten: Die Präposition 'nach' verlangt hier den Ortsnamen (Land), nicht die Person ('Agypter'). Typischer OCR-Fehler n -> r am Zeilenende."
Aktienkapitale,*,Aktienkapitale,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Das Wort steht im Dativ (nach 'dem' und 'einem'), wobei die Endung -e (Dativ-e) bei Neutra in historischen Texten korrekt ist."
Aktio,*,Aktio,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Aktiv,*,Aktiv,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Grammatischer Kontext ('Übersetzung in den Aktiv' bezieht sich auf die Stimme/Genus Verbi).
Albanier,*,Albanier,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Grammatikalisch korrekt im Genitiv Plural ('König der Albanier').
Alberr,*,Albert,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Albert: Typischer OCR-Fehler am Zeilenende (t -> r); Albert ist ein sehr häufiger Name, während Alberr nicht existiert."
Albers,*,Albers,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigenname (bekannter Schauspieler Hans Albers)
Alberte,*,Alberti,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Der Titel 'Frau Obstlt.' wird in Gesellschaftstexten üblicherweise von einem Familiennamen gefolgt; 'Alberti' ist im Korpus sehr häufig, während 'Alberte' extrem selten ist und zudem am Zeilenende ste"
Alberty,*,Alberty,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Eigennamen bleiben gemäß Regel 3 unverändert, auch wenn sie seltener vorkommen als andere Varianten."
Albini,*,Albini,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Es handelt sich um einen Eigennamen an der Position eines Familiennamens; 'Albine' wäre ein Vorname und stünde vor dem Titel/Nachnamen.
Albu,*,Albu,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um Eigennamen (Lady Albu, Ruth Albu). Gemäß Regel 3 bleiben Eigennamen stehen, auch wenn sie statistisch selten sind oder wie OCR-Fehler aussehen."
Alfrec,*,Alfred,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Alfred: Häufiger Vorname in einer Aufzählung von Personen; 'Alfrec' ist ein typischer OCR-Fehler am Zeilenende.
Alfreda,*,Alfreda,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Kontext besteht aus weiblichen Vornamen (Gisela Johanna), daher ist die weibliche Form Alfreda korrekt."
Alfreo,*,Alfred,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Alfred: Häufiger Vorname; 'Alfreo' ist ein typischer OCR-Fehler am Zeilenende.
Altes,*,Altes,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Das Wort steht am Anfang von Zitaten oder Titeln (gekennzeichnet durch Anführungszeichen » und „), was die Form 'Altes' als Teil eines Eigennamens oder Titels plausibel macht."
Amelio,*,Amelio,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Die Titel 'FMLt.' (Feldmarschall-Leutnant) und 'Dr.' weisen eindeutig auf eine männliche Person hin, weshalb der Name Amelio beibehalten werden muss."
Andenker,*,Andenken,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Andenken: Grammatikalisch korrekt ('das Andenken'); typischer OCR-Fehler n -> r am Zeilenende.
Andreae,*,Andreae,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigename in Verbindung mit 'Frl. Bärbel'; gemäß Regel 3 bleiben Eigennamen unverändert.
Andreaß,*,Andreaß,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigennamen bleiben gemäß Regel 3 unverändert.
Anime,*,Animo,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Animo: Die Wendung 'mit großem Animo' (im Sinne von Begeisterung/Elan) ist eine gängige historische Ausdrucksweise; 'Anime' ergibt im Kontext des späten 19. Jahrhunderts keinen Sinn.
Anlaf,*,Anlaß,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Anlaß: Klassischer OCR-Fehler (f statt ß); 'Anlaß' ist ein häufiges Wort und passt in den Kontext.
Anno,*,Anno,*,medium,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Grammatikalisch passt 'des' nicht zu den weiblichen Namen (Anna, Anne etc.), die 'der' oder einen Genitiv-S benötigen würden. 'Anno' ist als Einleitung für eine Jahreszahl (z. B. 'während des Anno 189"
Anns,*,Anns,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Das Wort steht nach 'geb. v.' (geborene von), was auf einen Familiennamen hindeutet. Da Eigennamen laut Regel 3 beibehalten werden und die Alternativen (Anna, Anne etc.) Vornamen sind, ist 'Anns' hier"
Ansucher,*,Ansuchen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Ansuchen: Typischer OCR-Fehler am Zeilenende (n -> r); 'Ansuchen' ist im Korpus häufig und passt grammatikalisch ('dem Ansuchen [stattgeben]').
Antoinetta,*,Antoinetta,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Parallelismus zu 'Rosanna' deutet auf italienische Namen hin.
Antor,*,Anton,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Anton: Typischer OCR-Fehler (n -> r am Zeilenende); Anton ist ein häufiger Vorname, Antor kommt im Korpus nicht vor."
Antwerper,*,Antwerpen,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Antwerpen: Die Präposition 'in' verlangt hier einen Ortsnamen; 'Antwerper' bezeichnet eine Person, 'Antwerpen' die Stadt."
Anwesender,*,Anwesenden,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Anwesenden: Grammatikalisch ist nach 'unter den' (Dativ Plural) und 'der' (Genitiv Plural) die Endung -en zwingend erforderlich.
Apolld,*,Apollo,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Apollo: Apolld ist kein bekanntes Wort; 'Apollo' ist ein häufiger Eigenname und passt grammatikalisch zum Artikel 'Das'.
Arce,*,Arco,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Arco: Graf Max Arco ist eine bekannte Persönlichkeit des Adels; die hohe Korpusfrequenz bestätigt den Namen.
Aristokratin,*,Aristokratin,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Grammatikalisch korrekt nach 'die Rolle einer'.
Armeer,*,Armeen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Armeen: In Textstelle 2 ist 'die Armeen' grammatikalisch korrekt; zudem entspricht der Fehler (n -> r) exakt dem beschriebenen OCR-Muster.
Armer,*,Armer,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Grammatikalisch korrektes Genitiv Plural des substantivierten Adjektivs 'arm' nach 'eine große Zahl'.
Armes,*,Armes,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Genitiv Singular von 'Arm' passt perfekt zum Kontext 'Verletzung des linken Armes'.
Army,*,Army,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Teil des Eigennamens 'United States Army'.
Arna,*,Arno,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Arno: Das Wort steht am Zeilenende; die hohe Korpusfrequenz von 'Arno' gegenüber 'Arna' deutet stark auf einen OCR-Fehler beim letzten Buchstaben hin.
Arnd,*,Arnd,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Handelt sich um einen Eigennamen; zudem liegt hier nicht das beschriebene OCR-Fehlermuster (n/m zu r) vor.
Arnolo,*,Arnold,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Arnold: Ernst Arnold ist ein gebräuchlicher Name; 'Arnolo' ist ein typischer OCR-Fehler am Zeilenende.
Arpáe,*,Arpád,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Arpád: Arpád ist ein bekannter historischer Name (Stifter des ungarischen Königshauses), während Arpáe nicht im Korpus vorkommt und ein typischer OCR-Fehler für das End-d ist."
Aslar,*,Aslan,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Aslan: Typischer OCR-Fehler am Zeilenende (n -> r); 'Aslan' ist im Korpus häufig belegt, während 'Aslar' nicht vorkommt."
Asti,*,Asti,*,medium,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Das Wort steht in Anführungszeichen, was auf einen Eigennamen oder Titel hindeutet; es gibt keinen grammatikalischen Grund für eine Korrektur."
Atelies,*,Atelier,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Atelier: „Atelies“ ist keine korrekte deutsche Form; „photographischen Atelier“ ist grammatikalisch korrekt (z. B. im Dativ Singular).
Attema,*,Attems,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Attems: Attems ist ein prominenter österreichischer Adelsname mit hoher Korpusfrequenz.
Auck,*,Auch,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Auch: Klassischer OCR-Fehler am Zeilenende; 'Auch' ist ein häufiges Wort und passt grammatikalisch in den Satzkontext.
Auger,*,Augen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Augen: Grammatikalisch ist 'unter den Augen' korrekt; 'Auger' ist ein typischer OCR-Fehler für 'Augen'.
Auges,*,Auges,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Genitiv Singular passend zu 'des rechten'
Augs,*,Augs,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Ausdruch,*,Ausdruck,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Ausdruck: Offensichtlicher OCR-Fehler; 'Ausdruck' ist die korrekte deutsche Schreibweise und passt in den Kontext ('dem Wunsche Ausdruck verleihen').
Auswärtiger,*,Auswärtigen,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Auswärtigen: Die Präposition 'im' (in dem) erfordert den Dativ, daher ist die Endung -en grammatikalisch zwingend."
Außen,*,Außen,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Kontext (Vizekanzler, Stellvertreter) weist eindeutig auf den Beginn eines Komposums wie 'Außenminister' oder 'Außenministerium' hin."
Außerden,*,Außerdem,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Außerdem: Standarddeutsches Adverb; 'Außerden' ist kein existierendes Wort und entspricht dem beschriebenen OCR-Fehler (m zu n am Zeilenende).
Babe,*,Babe,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Es handelt sich hierbei offensichtlich um einen Eigennamen (Initial G. + Name) in einer Liste von Personen/Preisträgern; gemäß Regel 3 bleiben Eigennamen unverändert.
Babenhauser,*,Babenhausen,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Babenhausen: Typischer OCR-Fehler (n -> r) am Zeilenende; 'von Babenhausen' ist die korrekte Form für den Orts-/Familiennamen, gestützt durch hohe Korpusfrequenz."
Bades,*,Bades,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: In allen drei Beispielen folgt das Wort auf den Artikel 'des', was den Genitiv Singular ('des Bades') zwingend erforderlich macht."
Bahner,*,Bahnen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bahnen: Genitiv Plural nach 'aller'; typischer OCR-Fehler n -> r am Zeilenende.
Baillon,*,Baillon,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Eigennamen bleiben gemäß Regel 3 unverändert, auch wenn sie seltener vorkommen als ähnliche Namen."
Balz,*,Balz,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich in beiden Fällen um Eigennamen (Firmenname und Personenname), die gemäß Regel 3 unverändert bleiben."
Bandy,*,Bandy,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich hierbei um einen Eigennamen, der auf den Titel 'Barone' folgt."
Bang,*,Bang,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: abgeschnitten
Banker,*,Banken,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Banken: Typischer OCR-Fehler (n -> r); grammatikalisch korrekt im Plural 'Aktien von Banken'.
Bardo,*,Bardi,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bardi: Die hohe Häufigkeit von 'Bardi' im Korpus gegenüber 'Bardo' deutet stark auf einen Eigennamen hin.
Barm,*,Barm,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Barmherziger,*,Barmherziger,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Grammatikalisch korrekt als Genitiv Plural (starke Deklination) nach 'einer Anzahl'.
Baro,*,Baro,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Baroninner,*,Baroninnen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Baroninnen: Pluralform für weibliche Barone; passt grammatikalisch zu den genannten Personen Euphrosine und Alice Károlyi.
Baror,*,Baron,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Baron: Klassischer OCR-Fehler (n -> r) am Zeilenende; 'Baron' ist ein extrem häufiger Titel im Kontext des Wiener Salonblatts.
Bayerne,*,Bayerns,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bayerns: „Bayerne“ ist kein existierendes Wort; „Bayerns“ ist die korrekte Genitivform und im Korpus häufig belegt.
Bayerr,*,Bayern,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bayern: Klassischer OCR-Fehler (n -> r) am Zeilenende; 'von Bayern' und 'nach Bayern' sind grammatikalisch und historisch zwingend.
Bayers,*,Bayern,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Bayern: Das Wort steht am Zeilenende, wo laut Instruktion häufig 'n' als andere Buchstaben verlesen wird. 'Bayern' ist im Korpus extrem häufig, während 'Bayers' nicht vorkommt; zudem ist die Konstruktion 'aus"
Bech,*,Beck,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Beck: Beck ist ein häufiger Familienname und im Korpus stark vertreten, während Bech nicht vorkommt."
Belvit,*,Belvis,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Belvis: Häufigkeit im Korpus und Kontext eines spanischen Adelstitels (Marquesa de Belvis).
Bende,*,Benda,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Benda: Das Wort steht in einer Aufzählung von Namen (u.a. Suppé, Kücken), bei denen es sich höchstwahrscheinlich um Komponisten handelt; Benda ist ein bekannter Name in diesem Kontext und im Korpus weitaus h"
Bergh,*,Bergh,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Es handelt sich um den Eigennamen des Künstlers Richard Bergh.
Bernadetta,*,Bernadetta,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Italienischer Vorname passend zum Kontext 'piemontesischen Adels' und dem Titel 'Donna'.
Berne,*,Berne,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: In Verbindung mit 'von' handelt es sich um einen Familien- oder Ortsnamen; 'Bernd' ist ein Vorname und passt hier nicht.
Bernt,*,Bernt,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname; bleibt gemäß Regel 3 unverändert.
Beroldinger,*,Beroldinger,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Die Präposition 'vom' (von dem) erfordert ein maskulines Nomen im Dativ; 'Beroldinger' als Personenbezeichnung oder Herkunftsbezeichnung ist hier grammatikalisch korrekt, während der Ortsname 'Beroldi"
Berr,*,Bern,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Ein Legationssekretär (LegSekr.) ist in einer Hauptstadt wie Bern stationiert; typischer OCR-Fehler n -> r.
Bertalar,*,Bertalan,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bertalan: Typischer OCR-Fehler am Zeilenende (n -> r); Bertalan ist ein bekannter Name im Kontext des ungarischen Adels (siehe Andrássy) und häufig im Korpus.
Berte,*,Berte,*,medium,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Handelt es sich um einen Eigennamen, bleiben diese gemäß Regel 3 auch bei geringer Häufigkeit im Korpus stehen, sofern kein eindeutiger Kontext eine Korrektur erzwingt."
Beschlussee,*,Beschlusses,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Beschlusses: Beschlussee ist kein existierendes Wort; Beschlusses ist die korrekte Form des Nomens Beschluss.
Besitzen,*,Besitzer,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Besitzer: Grammatikalisch ist nach 'für die' ein Nomen im Plural (oder Femininum Singular) erforderlich; 'Besitzer' passt hier perfekt, während 'Besitzen' (Verb) oder 'Besitzes' (Genitiv) falsch sind."
Besitzt,*,Besitzt,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Das Wort steht am Satzanfang einer Beschreibung; 'Besitzt' (3. Person Singular) ist in Berichten über Personen/Besitzverhältnisse die korrekte Form, während 'Besitze' (1. Person Singular) im Kontext e"
Bethler,*,Bethlen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bethlen: Historische Person; der ungarische Ministerpräsident hieß Stephan Graf Bethlen. Typischer OCR-Fehler n -> r am Zeilenende.
Bezirks,*,Bezirks,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Genitiv Singular nach 'eines'
Bezugs,*,Bezugs,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Wahrscheinlich Teil eines zusammengesetzten Substantivs wie 'Bezugsrecht', passend zum neutralen Artikel 'das'."
Bila,*,Bild,*,low,,llm,google/gemma-4-31b,2026-09-01,"confirms Bild: Kein Kontext vorhanden, aber 'Bild' ist ein sehr häufiges Wort, während 'Bila' im Korpus kaum vorkommt und wahrscheinlich ein OCR-Fehler des Zeilenendbuchstabens 'd' ist."
Bile,*,Bild,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bild: Das Wort 'Bile' ist im Deutschen nicht existent; 'dessen Bild' ergibt grammatikalisch und inhaltlich Sinn.
Blan,*,Blau,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Blau: Häufiger Name im Korpus; 'u' kann in der OCR als 'n' verlesen werden, insbesondere am Zeilenende."
Bley,*,Bley,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um einen Eigennamen (Freifrau Gabriele Bley, Freiherr v. Bley), die gemäß Regel 3 unverändert bleiben."
Blumer,*,Blumen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Blumen: Typischer OCR-Fehler (n -> r) am Zeilenende; im Kontext eines Operettenerfolgs sind Blumen als Beifall üblich.
Boor,*,Boor,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigename; gemäß Regel 3 bleiben Personennamen unverändert.
Bork,*,Bork,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigename (Nachname von Helly Bork)
Botschaften,*,Botschaften,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Das Wort ist in den Beispielen 1 und 3 grammatikalisch absolut korrekt (Plural von Botschaft). Gemäß der OCR-Regel werden 'n' oft als 'r' gelesen; ein vorliegendes 'n' am Zeilenende ist daher meist ko
Bourbor,*,Bourbon,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bourbon: Klassischer OCR-Fehler (n zu r am Zeilenende); Bezug auf das Haus Bourbon.
Brandb,*,Brandb,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Die Wendung 'im ehem.' (im ehemaligen) verlangt ein Orts- oder Regimentsnamen; der Name 'Brandt' passt grammatikalisch nicht. Es handelt sich vermutlich um eine Abkürzung für Brandenburg oder das Wort
Brant,*,Brant,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Eigenname
Bras,*,Bray,*,medium,,llm,google/gemma-4-31b,2026-09-01,"confirms Bray: Das Wort 'Bras' ist im Korpus unbekannt, während 'Bray' häufig vorkommt und in einer Gesellschaftszeitung als Eigenname plausibel ist; die Konstruktion 'einen Bray' (im Sinne von 'eine Person namens B"
Brediceano,*,Brediceanu,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Brediceanu: Der Name 'Brediceanu' ist im Korpus häufig belegt, während 'Brediceano' nicht vorkommt."
Brie,*,Brie,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Der Kontext ist eindeutig französisch ('au Brie', 'In Paris Comtesse Pierre de Brie'), was auf die Region Brie hindeutet."
Bril,*,Bril,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten (wahrscheinlich 'Brillanten')
Brione,*,Brioni,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Brioni: Die hohe Häufigkeit von 'Brioni' im Korpus gegenüber 'Brione' deutet stark auf einen Eigennamen hin, der am Zeilenende falsch gelesen wurde."
Bris,*,Bris,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Brom,*,Brom,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Es handelt sich um einen Eigennamen, der auf den Vornamen 'Gisbert' folgt."
Brund,*,Bruno,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Bruno: In Kontext 1 ist 'Vetter Bruno' eine sehr typische Bezeichnung (Vorname), zudem weist die hohe Korpusfrequenz von 196 Belegen stark auf diesen Namen hin."
Bulgarer,*,Bulgaren,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bulgaren: Grammatikalisch ist hier der Genitiv Plural ('König der Bulgaren') erforderlich; zudem passt es zum typischen OCR-Fehler n -> r.
Bulgarier,*,Bulgarien,*,high,,llm,google/gemma-4-31b,2026-09-01,"confirms Bulgarien: Die Präposition 'nach' verlangt in diesem Kontext einen Ortsnamen (Land), nicht eine Personenbezeichnung."
Buquov,*,Buquoy,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Buquoy: Buquoy ist ein bekannter Adelsname und im Korpus sehr häufig vertreten; Buquov ist vermutlich ein OCR-Fehler am Zeilenende.
Böhmer,*,Böhmen,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Böhmen: Kontext bezieht sich auf Orte in Böhmen sowie das Königreich Böhmen (Kgr. Böhmen).
Büchel,*,Büchel,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Grammatikalisch ist 'im Bücher' unmöglich (Plural); 'im Büchel' (Diminutiv von Buch) ist korrekt.
Büdinger,*,Büdingen,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Bezug auf das Haus Ysenburg und Büdingen; typischer OCR-Fehler (n -> r) am Zeilenende.
Bülon,*,Bülow,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Bülow: Häufiger Adelsname im Korpus; 'n' am Zeilenende ist ein typischer OCR-Fehler für 'w'.
Cala,*,Cala,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich um einen Eigennamen in einer Titelkonstruktion ('Herzog und die Herzogin von...'), welche gemäß Regel 3 unverändert bleiben soll."
Cara,*,Cara,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Im Kontext der Nennung von Großeltern ist die Aufzählung eines Paares (Ludwig und Cara) logisch; ein zweiter männlicher Name wie Carl wäre hier unüblich.
Carli,*,Carli,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigenname nach Titel ('Freiherr'); gemäß Regel 3 bleiben Eigennamen stehen.
Carn,*,Carl,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Carl: Im Kontext einer Aufzählung von Personen ist 'Carl' ein sehr häufiger Vorname; die Endung '-rn' statt '-rl' am Zeilenende ist ein typischer OCR-Fehler.
Carnac,*,Carnac,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end misread: Die Präposition 'in' deutet auf einen Ortsnamen hin (Carnac in Frankreich), während 'Carnap' ein Familienname ist."
Caro,*,Caro,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: In den Beispielen 1 und 2 fungiert 'Caro' als Familienname (Komtesse Caro, geb. Caro), was absolut plausibel ist. In Beispiel 3 bezieht es sich auf König Carol I. von Rumänien; obwohl hier oft 'Carol'"
Carp,*,Carp,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end review: Eigenname; konsistent in beiden Textstellen als Nachname von Frau Anna verwendet.
Carr,*,Carr,*,high,,llm,google/gemma-4-31b,2026-09-01,"line-end review: Es handelt sich hierbei um einen Eigennamen (S. Carr), die gemäß Regel 3 unverändert bleiben."
Cassia,*,Cassia,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Via Cassia ist eine bekannte antike römische Straße.
Chal,*,Chal,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: abgeschnitten
Cham,*,Cham,*,high,,llm,google/gemma-4-31b,2026-09-01,line-end misread: Cham ist ein Ortsname (Stadt in Bayern); die Wendung 'bei Cham' im Zusammenhang mit einem Schloss ist geografisch plausibel.
Charler,*,Charles,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Charles: Typischer OCR-Fehler am Zeilenende (s -> r); 'Charles' ist ein häufiger Vorname und passt zum Titel 'Marquis'.
Charlotta,*,Charlotte,*,high,,llm,google/gemma-4-31b,2026-09-01,confirms Charlotte: Die Gemahlin des Kammersängers Richard Tauber hieß Charlotte; zudem ist die Korpusfrequenz für 'Charlotte' deutlich höher.
