CroySternberg;Croy-Sternberg
St. James Church;St. James' Church
Meuniere;Meunière
»Hotel Hopfenstock ;»Hotel Hopfenstock« 
Feldspit. 92;Feldspit. 9/2
dal Vermee;dal Verme
creme;crême
Alengon;Alençon
Crépe;Crêpe
Jodo Domingues;João Domingues
 Mozarteum«; »Mozarteum«
Csenkesz-Ethe;Csenkesz-Éthe
Heecht;Hecht
 Martinsbrunn«; »Martinsbrunn«
Ldesger Präs;LdesgerPräs
»Hotel Metropole ;»Hotel Metropole« 
 Westminster-Hotel«; »Westminster-Hotel«
Csillag;Csillág
Lest ;L'est 
Ehrenkreu¬;Ehrenkreuz
 pacheurs ; pêcheurs 
Feldspitale Nr. 31;Feldspitale Nr. 3/1
 veux ; yeux 
Csor;Csór
Csörgeó;Csörgeö
Czarto ryski;Czartoryski
Czerwonogröd;Czerwonogród
Czirka;Cziròka
Lancut;Lańcut
sourils;sourçils
 Bat. 487; IBat. 4/87
Czizek;Czjzek
Czjzek;Cžjžek
Wrada v. Kunwald;Wražda v. Kunwald
laurore;l'aurore
v. Olegović;v. Ožegović
v. Riha;v. Ržiha
Czobel;Czóbel
Czöbel;Czóbel
Vincenz lavak;Vincenz Hlavaček
von Goss;von Goëss
v. Goss;v. Goëss
D. S. R.;Č. S. R.
DERGESELLSCHAET;DER GESELLSCHAFT
MilAbt. 355;MilAbt. 3/55
»Kälteschutz ;»Kälteschutz« 
bh. JB. III,;bh. JB. III/2
Dembinska;Dembińska
Ullöi-t;Üllöi-út
»Hotel Elefant ;»Hotel Elefant« 
Dentie;Dentice
»Kriegskinderspende ;»Kriegskinderspende« 
Deák-tür;Deák-tér
Deákter;Deák-ter
Olzweig;Ölzweig
»Rigie;»Rigi«
Radbor ;Radboř 
Ohegy;Óhegy
nebenann;nebenan
 vonne ; Yvonne 
»Hotel am See,;»Hotel am See«,
 Rote Kreuz«; »Rote Kreuz«
Asuncion;Asunçion
zur Kur¬;zur Kur
Titkad Wachtm;TitKadWachtm
Klusarek;Klusaček
Einjfreiw Korp;EinjfreiwKorp
Komteß¬;Komteß
»Hotel Quarner ;»Hotel Quarnero« 
»Hotel Erzherzog Johann ;»Hotel Erzherzog Johann« 
»Villa Miravalle ;»Villa Miravalle«
»Hotel-Pension Wallner,;»Hotel-Pension Wallner«,
»Villa Alma :»Villa Alma«
»Villa Viktoria ;»Villa Viktoria«
Offentlichkeit;Öffentlichkeit
OShangnessy;O'Shangnessy
»Pension Hausner ;»Pension Hausner«    
Diero;Diego
Ceipek;Čeipek
 Hofmarschall; OHofmarschall
»Villa Keglevich ;»Villa Keglevich« 
 Kurpension Mirabell«; »Kurpension Mirabell«
 Thermia Palacehotel«; »Thermia Palacehotel«
Dlalath;Mailáth
Aidanus;Aïdanus
»Villa Nadine ;»Villa Nadine« 
 Kath. Volksbundes für Österreich«; »Kath. Volksbundes für Österreich«
Dobr-Zensky;Dobržensky
Otönös;Ötönös
 ists; ist's
ErbHofpostmeister;ErbOHofpostmeister
Lastibor ;Lastiborž 
St. Georges Church;St. George's Church
Fonseca Hermes;Fonseca Hermès
Teutonic ;Teutonici 
Hoppeland;Hopeland
DobrZensky;Dobržensky
Offentliche;Öffentlich
Dobriensky;Dobržensky
Beöthy;Beőthy
Pourtales;Pourtalès
Dobrzensky;Dobržensky
 Heil. Engeln«; »Heil. Engeln«
Cerche;Cercle
Dusek,;Dušek,
 Kaiserhof«; »Kaiserhof«
Zemlička;Žemlička
v. Roll;v. Roëll
Caussević;Čausević
Seekdt,;Seekdt.
Text5 4.;
»Villa Alexander ;»Villa Alexander« 
barmherr;barmher
Dobržensky;Dobrženský
Zydaczow;Zydacžow
Grodków-Los;Grodków-Loś
Lubaczów;Lubačzów
auf Skala;auf Skała
Nußbaum 6 Pick;Nußbaum & Pick
Daidsino;Daïdsino
Vrchlicky;Vrchlický
Aro-Club;Aëro-Club
Aro-Verband;Aëro-Verband
Lažansky;Lažanský
 eb. ; geb. 
Präs Chef;PräsChef
kaiserlichen acht;kaiserlichen Yacht
 röties ; rôties
 melée ; mêlée  
Swogetinsky;Swogetinský
Statt Rat.;Statth-Rat.
Sedivy;Šedivy
Barbo-Soresina;Barbò-Soresina
Kjkr ;Kjkr. 
Tit, u;Tit. u
 Am Steinhof«; »Am Steinhof«
191213;1912/13
 mariners ; marinièrs 
Consomm.;Consommé.
191415;1914/15
Renn-Tacht;Renn-Yacht
FremdeHöfe;Fremde Höfe
Fehr und Albe;Fehr und Ažbe
GII.;GM.
Maidof-Honor;Maid-of-Honor
»Hotel de Paris ;»Hotel de Paris« 
Kasrel-Aini;Kasr-el-Aini
Mawrikiewna;Mawrikiëwna
Albert Guadt;Albert Quadt
Ottoman,;Ottoman.
Uraniastr,;Uraniastr.
Adelaide;Adelaïde
 quils ; qu'ils 
 chere ; chère 
Tresčeć;Treščeć
crémonies;cérémonies
Claridges Hotel;Claridge's Hotel
Lisleen-Rigault;Lisle-en-Rigault
»Weißen Löwen¬;»Weißen Löwen«
 Martinsbrunn«; »Martinsbrunn«
 Palasthotel Fürstenhof«; »Palasthotel Fürstenhof«
 Koburg«; »Koburg«
 Sauerhof«; »Sauerhof«
TextS. 1;
forestiere;forestière
Staromoraysti;Staromoravští
Nigoise;Niçoise
Sangusto;Sanguisto
Bogota;Bogotá
»Hotel de Russie ;»Hotel de Russie« 
 Guntschnahof«; »Guntschnahof«
Oruchseß;OTruchseß
(Titelbildtext);
d’ork;d’York
Min. alatere;Min. a latere
Nasice;Našice
Beaulieusur mer;Beaulieu-sur-mer
Tirkaiserjäg;TirKaiserjäg
Posilović;Posilovič
Odon;Ödön
Granits au;Granités au
»Pension Augusta ;»Pension Augusta«
Foes Gras;Foies Gras
»Palasthotel ;»Palasthotel« 
Midshipmann;Midshipman
 Bazar Mandria«; »Bazar Mandria«
Hotel Trémoille;Hotel Trémoïlle
Coeurs de;Cœurs de
Tex S. 5.;
»Grillparzers;»Grillparzer«
»Hotel Mozart.;»Hotel Mozart«.
 Bauer und Grünwald«; »Bauer und Grünwald«
Savoyensche;Savoyen'sche
Baranammi;Baranami
Tit Erzbischof;TitErzbischof
Tit,;Tit.
colla Vign ;olla Vign' 
Ilide ;Ilidže 
d’Armaille;d’Armaillé
 Tivoli«; »Tivoli«
Präs Chef;PräsChef
Cunliffee;Cunliffe
Ružičié;Ružičić
Rhönedelta;Rhônedelta
Aujourd;hui;Aujourd'hui
 poque; époque
 etes ; êtes 
 täche ; tâche 
v. Urseel;v. Ursel
 auprés ; auprès 
de Vog ;de Vogüé 
exprimmer;exprimer
lespoir;l'espoir
Frangois;François
lavenir;l'avenir
Guards Chapel;Guard's Chapel
maniére;manière
Lichtenegg-Moos¬;Lichtenegg-Moos
distinguie ;distinguiée 
di Moch ;di Mòch' 
Cotelettes;Côtelettes
Pice de;Pièce de
Dona;Doña
Text S. 12.;
Text S. 11.;
Kosir;Košiř
Stanchiff;Stancliff
Féte ;Fête 
Doummergue;Doumergue
Bord der acht;Bord der Yacht
Salesius Barina;Salesius Bařina
Atzéll;Atzél
ehem. P.;ehem. MP.
Sarić;Šarić
diplomm.;diplom.
Kalmann;Kálmán
Republik üan;Republik Yüan
Shih-kai;Shih-k'ai
Cortige;Cortège
Meißl¬;Meißl
Theatre paré;Théâtre paré
Tätig keit;Tätigkeit
Sustersi;Šusteršić
Char,;Char.
Pätisserie;Pâtisserie
Texts5;
Avenu ;Avenue 
Odön;Ödön
»Hotel Königin von England ;»Hotel Königin von England« 
Karls bad;Karlsbad
Malt. Rr;Malt.-Rr
la gele.;la gelée.
Supréme;Suprême
 Maria-Schul«; »Maria-Schul«
Liharik;Liharžik
Osmaniéh-Orden;Osmaniëh-Orden
von Chun;von Ch'un
Puyi;P'u-yi
Vereines Die Technik für die Kriegsinvaliden;Vereines »Die Technik für die Kriegsinvaliden«
Tsai-fang;Tsai-fêng
OShaugh;O'Shaugh
 loh0; JohO
Kriegsdienstt;Kriegsdienst
TirjägRgt;TirJägRgt
Postelek;Póstelek
schreibts;schreibt's
Res Bat;ResBat
 Residenz-Hotel«; »Residenz-Hotel«
Cernikowitz;Černikowitz
v. Bunić;v. Bunič
Bozen¬;Bozen
Hus Freiw;HusFreiw
las Almenas;las Almeñas
Erlösser;Erlöser
»Kaiserin Elisabeth¬;»Kaiserin Elisabeth«
 Palasthotel«; »Palasthotel«
 Palast-Hotel«; »Palast-Hotel«
»Pension Quarnero ;»Pension Quarnero« 
TRgt;TJRgt
 pro ecclesia et pontifice«; »pro ecclesia et pontifice«
LEstoc¬;L'Estocq
»Villa Nadine ;»Villa Nadine« 
v. Michaelis;v. Michaëlis.
OShang;O'Shang
Prinz Georgios;Prinz Geórgios
Rukkih;Rukkiëh
Behieh;Behiëh
Atieh;Atiëh
»Hotel Krantz ;»Hotel Krantz« 
Rzepince;Rzepińce
HonvédKmdo;HonvédOKmdo
»Grillparzer ;»Grillparzer« 
v. Frangois;v. François
nummero;numero
Franzens bad;Franzensbad
»Villa Waldruhe ;»Villa Waldruhe«
dOra;d'Ora
Grätin;Gräfin
Vsenburg;Ysenburg
Vordem ;Vor dem 
Mikessi.;Mikessić.
Nemeek;Nemeček
Santa Colona;Santa Coloña
Mostarli ;Mostarlić 
Aga Dini;Aga Džinić
bayer ;bayer. 
Tex S. 5.;
bei Sich¬;bei Sich.
Pätisserie;Pâtisserie
 a la; à la
Text untenstehend,;
Creme;Crême
Kaderin;Kaderžin
Histie;Hřistie
Char,;Char.
Cernahora;Černahora
Tiebić;Třebić
Phctogr;Photogr
„Atelier Adele,;„Atelier Adele“,
Dvofák;Dvořák
Tit Erzbisch;TitErzbisch
Mikyniec;Mižyniec
Läslö;Lásló
de Voge;de Vogüé
de Borsod;de Borsód
Jérome;Jérôme
Zyrowa;Žyrowa
Zampach;Žampach
Krimic;Křimic
Voksic;Vokšic
Jiin;Jičin
truffees;truffées
Chledowska;Chłedowska
Chodaczkow maly;Chodaczkow mały
Szyszlo;Szyszłło
Szyszllo;Szyszłło
Test 5.6.;
Casaleiz;Casaleïz
Atelier Kosrt;Atelier Kosel
FranzJosef;Franz Josef
 mitder ; mit der 
Eiserne Kreuz¬;Eiserne Kreuz
Terts.5;
mit dem Prädikate v.;mit dem Prädikate »v.
Textuntenstehend;
Test 5.3;
1915116;1915/16
TirkaisJäg;TirKaisJäg
Text S. 9;
18781880;1878/1880
½0 Uhr;½9 Uhr
Dragegt.;DragRgt.
Text S. 10.;
Text S.11.;
Sabac ;Šabac 
Dragegts.;DragRgts.
Texts. Titelbildtext und S. 5.;
Draggt.;DragRgt.
Dreub;preuß
Dvofák;Dvořák
Dvorak;Dvořak
Donät Tomas;Donát Tomáš
Dvorák;Dvořák
Dzialinski;Dzialiński
Dzialynska;Dzialyńska
Dächerrn;Dächern
Démétre;Démètre
Dézember;Dezember
Eari;Exz
Ecska;Écska
Eeon;Egon
Effekter;Effekten
IIi;Ili
Eitelseite;Titelseite
Eriherzog;Erzherzog
Erzsébetter;Erzsébet-ter
F. Knozers;F. Knozer's
Nycky;Nýcky
Fajkürt;Fájkürt
Feycal;Feyçal
Five-oclock;Five-o'clock
Flammande;Flamande
Fochter ;Tochter 
Fodröczy;Fodróczy
Forgach;Forgách
Forgäch;Forgách
Forontal;Torontál
Fraung;Trauung
Freitrau;Freifrau
Friandisses;Friandises
Frènes;Frênes
Furtzt;FMLt
Fvon;Egon
Féte;Fête
Földek;Földeák
Füirstenberg;Fürstenberg
G. S. R.;Č. S. R.
GESELLSCHAET;GESELLSCHAFT
Gaal;Gaál
Galgöcz;Galgócz
Gastolowitz;Častolowitz
Gatttendorf;Gattendorf
Gebett;Gebet
Gele ;Gelée 
Gemen-Waldeck;Gečmen-Waldeck
Genintend;GenIntend
Geore;Georg
»Roten Herzen ;»Roten Herzen« 
Georgiević;Georgievič
Saint-Sans;Saint-Saëns
Gesian;Cesiano
Geémen;Gečmen
Gfir ;Gfin 
Giro Kikutchi;Girô Kikutchi
Goilaw-Hawarna;Goïlaw-Hawarna
Goluchowska;Gołuchowska
Swiatopolk;Swiatopołk
Goäß;Goëß
Goéß;Goëß
Goëf;Goëß
Graffeemberg;Graffemberg
Grahin;Gräfin
Grand Hotel;Grand Hôtel
Grat ;Graf 
Graten ;Grafen 
Grinderin;Gründerin
»Villa Ritter ;»Villa Ritter« 
Grié;Grič
Groberundber;Großgrundbes
Grohindustriellen;Großindustriellen
Gräfinner;Gräfinnen
Gräfir;Gräfin
Gräfir ;Gräfin 
Grähin;Gräfin
Gyulafalva u. Bogdan;Gyulafalva u. Bogdán
Gôtter;Götter
Gödöll ;Gödöllö 
Görniak;Górniak
Gûte;Güte
Gûter;Güter
Gûtern;Gütern
Hanomagg;Hanomag
Hanska;Hańska
Hanus Peterka;Hanuš Peterka
Hardeng;Hardegg
Hascnauer;Hasenauer
Hatvany;Hátvany
Heldentater;Heldentaten
Henskel;Henckel
Herbsthutt;Herbsthut
Kriegs dekoration;Kriegsdekoration
Hermanméstec;Heřmanměstec
Herzogir;Herzogin
Hiochadels;Hochadels
Hochreit;Hochzeit
Fassan;Fasan
Hochreitspäste;Hochzeitsgäste
 Hotel Hackinger«; »Hotel Hackinger«
Hodossy;Hódossy
Hohenlohe Langenburg;Hohenlohe-Langenburg
»Hotel Kreuze;»Hotel Kreuz«
HonvEusKitm;HonvHusRittm
Honvéd Kmdt;HonvédOKmdt
Hory;Hóry
Hotel Bellevue;Hôtel Bellevue
Hotel Brioni;Hôtel Brioni
Hotel Muveran;Hôtel Muveran
Hotel Ritz;Hôtel Ritz
Hotel de la Reine;Hôtel de la Reine
Hotel du Palais;Hôtel du Palais
Houdann Rotti;Houdan Rôti
Hradek;Hrádek
Hridegarde;Hildegarde
Husegts;HusRgts
Hödy;Hódy
Hötel;Hôtel
Hünt;fünf
I., S. R.;Č., S. R.
Idtäfl;ldtäfl
Institutt;Institut
Internicrung;Internierung
Inés;Inès
Italier;Italien
Itzehne;Itzehoe
Ivänka;Ivánka
JeBensky;Jeßenßky
Jerme;Jérôme
Jevtić;Jevtič
Jeßensky;Jeßenßky
Jiri Kristian;Jiři Kristián
Trebomislyc;Třebomislyc
Jobbaháza;Jobaháza
Jonka v. Drasker;Joánka v. Draskóer
Jordanföld;Jordánföld
Juann;Juan
Jungfer-Brean;Jungfer-Břežan
Jérme;Jérôme
Jösika;Jósika
KONNIG;KÖNIG
KUNSTE;KÜNSTE
Kaiseräger;Kaiserjäger
Kalman;Kálmán
Kalnoky;Kálnoky
Kamars;Kamarás
Kammerad;Kamerad
Kammeraden;Kameraden
Karansebes;Karánsebes
ArmeeKmdtn;ArmeeOKmdtn
Kardas-Rečic;Kardaš-Rečic
Karil;Karl
 vonne; Yvonne
Kartsonyi;Karátsonyi
Winiewski;Wiśniewski
Winiewska;Wiśniewska
Winiewo;Wiśniewo
Cebów;Cebłów
Klukow;Kłuśow
Wierzbia,;Wierzbiaž,
Hotel Der Königshof«;Hotel »Der Königshof«
Subrt;Šubrt
Olstudie;Ölstudie
Keit zes ; Reitzes 
Kettungsgesellschaft;Rettungsgesellschaft
Odon;Ödön
Podgora,;Podgorač,
Khan Rais;Khan Raïs
Kicka;Ricka
JB. 252;JB. 2/52
Wisniewski;Wiśniewski
Kieneck;Rieneck
Kinchoffer;Ringhoffer
Kinghoffer;Ringhoffer
Drag. Rgt;Drag.-Rgt
Batührer;BatFührer
BrigSan Anst;BrigSanAnst
305cm;30'5cm
Kitm.;Rittm.
Athenais;Athenaïs
Kodenski;Kodeński
HaubBat. 33;HaubBat. 3/3
 Hofm.; OHofm.
Kohmiler;Roßmiller
JBat. 13;JBat. 1/3
Konstantinos;Konstantînos
Lažansky;Lažanský
Uzelak;Uželak
Konsular Gerichts;KonsularOGerichts
Kopyczyce;Kopyczyńce
Koscielska;Kościelska
Koscielski;Kościelski
Kosická;Košická
 Wiener Hof«; »Wiener Hof«
Jehlicka;Jehlička
Livio Castani;Livio Caëtani
Kotiuzyńsky;Kotiužyńsky
Kotz v. Dobi;Kotz v. Dobř
Malibegović;Malićbegović
Puy-de-Dome;Puy-de-Dôme
»Hote ;»Hotel 
Titgsf;TitZgsf
Kovarik;Kovařik
Außerste;Äußerste
Krakowskf;Krakowský
Krakowsky;Krakowský
Berggamo;Bergamo
Krasinska;Krasińska
Gräfin Zsóh;Gräfin Zsófi
Kráky;Krátký
Krátky;Krátký
Kuera;Kučera
Heelene;Helene
Krasne-Krasinska;Krasne-Krasińska
Racconigi¬;Racconigi
OsterrSchlesien;ÖsterrSchlesien
Gesandt schaft;Gesandtschaft
Rameek;Ramek
Ldsger Präs;LdsgerPräs
Belisée;Belišće
