left,right,form,source,model,decided_on,note
Akers,Douglas,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um den Doppelnamen des britischen Gesandten Sir Akers-Douglas; Doppelnamen werden in dieser Publikation mit Bindestrich gesetzt.
Alfa,Romeo,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um den Markennamen Alfa-Romeo; die Verwendung des Bindestrichs wird zudem explizit in Textstelle 3 belegt.
Allein,sein,join,llm,google/gemma-4-31b,2026-08-25,Nominalisierung durch den vorangestellten Artikel 'das'; zudem ist der zweite Teil kleingeschrieben.
An,der,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich in allen Beispielen um die Präposition 'An' gefolgt vom Artikel 'der' (lokale Bestimmung: 'An der New Yorker Börse', 'An der Narentamündung' sowie im Namen 'von An der Lan')."
Andor,Harkányi,split,llm,google/gemma-4-31b,2026-08-25,Vorname und Nachname einer Person.
Anna,Berta,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelvorname; der Kontext 'Marie Julie' zeigt, dass Vornamen hier ohne Bindestrich gesetzt werden."
Anna,Luise,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelvorname, der im Korpus und in den Textstellen überwiegend ohne Bindestrich geschrieben wird."
Anna,Maria,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen klassischen Doppelvornamen, der in dieser Zeit üblicherweise ohne Bindestrich als zwei Wörter geschrieben wurde."
Anne,Marie,hyphen,llm,google/gemma-4-31b,2026-08-25,"Doppelvorname, der in dieser Zeit und im gesellschaftlichen Kontext häufig mit Bindestrich geschrieben wurde; zudem weisen die OCR-Zeichen '¬' in zwei von drei Fällen auf einen Trennstrich hin."
Anruf,A16147,split,llm,google/gemma-4-31b,2026-08-25,"Handelt sich um eine Telefonangabe, bei der das Schlagwort 'Anruf' vor der eigentlichen Nummer steht."
Antonielli,d’Oulx,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um einen Namen mit Partikel (d’Oulx); zwischen dem Hauptnamen und der Partikel steht kein Bindestrich oder Satzzeichen.
April,1908,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Datumsangabe (Tag Monat Jahr), bei der zwischen Monat und Jahr kein Satzzeichen steht."
April,1910,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Datumsangabe (Tag Monat Jahr), bei der zwischen Monat und Jahr kein Satzzeichen steht."
Aprés,souper,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen substantivierten französischen Begriff ('Après-Souper'), der in dieser Zeitung als Kompositum behandelt wird; die Verwendung von 'ein/eines' im Kontext bestätigt den Nominalch"
Arco-Val,ley,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'ley' ist kleingeschrieben; es handelt sich um die Fortsetzung des Namens 'Arco-Valley', der mitten im Wort zerschnitten wurde."
Armee,Kmdt,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Armee-Kommandant), wobei 'Kmdt.' die Abkürzung für Kommandant ist; dies wird durch die Korpusbelege gestützt."
Armee,inspektor,join,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein zusammengesetztes Substantiv (Militärrang), wobei der zweite Teil klein geschrieben ist, was auf eine Worttrennung hindeutet."
Art,Div,hyphen,llm,google/gemma-4-31b,2026-08-25,"Abkürzung für Artillerie-Division; es handelt sich um ein Substantiv-Kompositum, das hier konsistent mit Bindestrich verbunden wird."
Art,Hptm,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den zusammengesetzten Militärrang 'Artillerie-Hauptmann', der in Abkürzung als 'Art.-Hptm.' geschrieben wird."
Artillerie,offiziere,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'offiziere' ist kleingeschrieben, was auf ein zusammengesetztes Substantiv hindeutet, das mitten im Wort zerschnitten wurde."
Arzte,kammer,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil 'kammer' ist kleingeschrieben; es handelt sich um das zusammengesetzte Substantiv 'Ärztekammer'.
Attems-Heiligenkreuz,und,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine einfache Aufzählung von Personen ('A und B'), bei der das 'und' die beiden Namen verbindet; ein Bindestrich (Ergänzungsstrich) ist hier nicht anwendbar, da kein gemeinsames Fol"
Attlantic,Palace,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Namen eines Hotels (Atlantic Palace in Karlsbad), der als zwei separate Wörter geschrieben wird."
Auffenberg,Kommarow,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Namensliste verschiedener Personen (erkennbar an der Fortsetzung mit 'Dr. Rudolf Führer'), daher ist ein Beistrich zwischen den Namen notwendig."
Aufrufes,in,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine einfache Wortfolge aus Substantiv und Präposition (""Aufrufes in Nr. 15""), ohne dass ein Satzzeichen oder Bindestrich erforderlich wäre."
Aug,1850,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung für den Monat August
Aug,1885,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung des Monats August (Aug.) vor der Jahreszahl.
Aug,1888,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung des Monats August (Aug.) vor der Jahreszahl.
Aug,1891,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung des Monatsnamens 'August' (Aug.)
Aug,1895,period,llm,google/gemma-4-31b,2026-08-25,„Aug“ ist die gängige Abkürzung für August und erfordert einen Abkürzungspunkt.
Aug,1897,period,llm,google/gemma-4-31b,2026-08-25,„Aug“ ist die gängige Abkürzung für den Monat August und erfordert zwingend einen Abkürzungspunkt.
August,1913,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Datumsangabe (Tag Monat Jahr), bei der zwischen Monat und Jahr kein Satzzeichen steht."
August,Karl,period,llm,google/gemma-4-31b,2026-08-25,"In Textstelle 1 folgt auf ein Datum ('25. August') der Name einer Person; dies ist das typische Format für Todes- oder Geburtsanzeigen in dieser Zeitschrift, wobei das Datum durch einen Punkt vom Name"
August,Wilhelm,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um zwei Vornamen einer Person (Prinz August Wilhelm), die im Deutschen ohne Bindestrich geschrieben werden."
Auguste,Fonds,hyphen,llm,google/gemma-4-31b,2026-08-25,Bezeichnung eines Fonds nach einer Person; Korpusbelege bestätigen die Form 'Auguste-Fonds'.
Außen,Min,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (Außenminister), das in dieser Zeitung bei Titeln und Ämtern häufig mit Bindestrich gesetzt wird; zudem ist der zweite Teil ('Min.') großgeschrieben, was l"
Außen,handel,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil ist kleingeschrieben, was auf eine Worttrennung mitten im Stamm hindeutet; 'Außenhandel' ist ein gängiges Kompositum."
Außer,dem,join,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um das Adverb 'Außerdem' am Satzanfang; der zweite Teil ist kleingeschrieben.
Ave,Maria,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Titel eines Musikstücks ('das Ave-Maria'), der in dieser Zeit und in dieser Zeitung als Substantiv-Kompositum häufig mit Bindestrich gesetzt wurde, insbesondere wenn ein Artikel"
Bach,Mozart,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Aufzählung von Komponisten (Bach, Mozart, Busoni etc.), daher ist ein Beistrich die richtige Trennung."
Bad,Gastein,split,llm,google/gemma-4-31b,2026-08-25,Bad Gastein ist ein Ortsname und wird als zwei separate Wörter geschrieben.
Baels,und,split,llm,google/gemma-4-31b,2026-08-25,Baels ist ein Name; 'und' verbindet diesen mit einer weiteren Person (Gemahlin bzw. Graf Hans Erwein Wilczek). Es handelt sich um eine einfache Aufzählung ohne Satzzeichen.
Ball,in,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Kombination aus Substantiv 'Ball' und Präposition 'in', die einen Ort einleitet."
Bank,A.-G,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um den Namen eines Unternehmens und dessen Rechtsform (Bank A.-G.); hier steht kein Bindestrich oder Satzzeichen.
Bank,Dir,hyphen,llm,google/gemma-4-31b,2026-08-25,
Bank,wesens,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und bildet zusammen mit dem ersten Teil das Wort 'Bankwesens' (Genitiv von Bankwesen).
Baron,Radvánszky,split,llm,google/gemma-4-31b,2026-08-25,Titel (Baron) und Name (Radvánszky) derselben Person werden getrennt geschrieben.
Bat,Führer,hyphen,llm,google/gemma-4-31b,2026-08-25,Abkürzung 'Bat.' (Bataillon) bildet ein Kompositum mit 'Führer' (Bataillons-Führer).
Bat,Kmdr,period,llm,google/gemma-4-31b,2026-08-25,Der linke Teil 'Bat' ist die gängige militärische Abkürzung für Bataillon; gemäß den Regeln führt eine Abkürzung eines Titels oder Ranges am Zeilenende zur Form 'period'.
Baudissin-Zinzendorf,Pottendorf,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Kombination aus einem Familiennamen (Baudissin-Zinzendorf) und dem dazugehörigen Herrschaftssitz/Ortsnamen (Pottendorf), was in dieser Zeitung typischerweise als Titelkompositum"
Baum,wollindustrie,join,llm,google/gemma-4-31b,2026-08-25,Zweiter Teil ist kleingeschrieben; es handelt sich um das zusammengesetzte Substantiv 'Baumwollindustrie'.
Bedauerlicher,weise,join,llm,google/gemma-4-31b,2026-08-25,"Das Wort 'Bedauerlicherweise' ist ein gängiges Adverb; der zweite Teil ist kleingeschrieben, was auf eine Worttrennung hindeutet."
Bei,der,split,llm,google/gemma-4-31b,2026-08-25,Präposition 'Bei' und Artikel 'der' bilden zwei getrennte Wörter.
Bellardi,Ricci,hyphen,llm,google/gemma-4-31b,2026-08-25,Korpusbeleg und Kontext (Name einer Person) weisen auf einen Doppelnamen hin.
Benediktiner-Erzabtei,Beuron,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um die Bezeichnung einer Institution (Benediktiner-Erzabtei) gefolgt von ihrem Eigennamen (Beuron), was im Deutschen ohne Bindestrich geschrieben wird."
Bez,Hptm,hyphen,llm,google/gemma-4-31b,2026-08-25,"Abkürzung für Bezirks-Hauptmann, ein typisches Titelkompositum."
Bez,Hptms,period,llm,google/gemma-4-31b,2026-08-25,"Bez. ist die gängige Abkürzung für Bezirks- (hier im Titel Bezirkshauptmann), analog zum Beispiel Geh. Rat."
Bez,Hptmschaft,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein abgekürztes Substantiv-Kompositum (Bezirkshauptmannschaft); die Zeitung setzt solche Zusammensetzungen, insbesondere bei administrativen Begriffen, häufig mit Bindestrich."
Bez,Komm,period,llm,google/gemma-4-31b,2026-08-25,"Der linke Teil 'Bez' ist eine Abkürzung für 'Bezirks-'. Gemäß der Faustregel führt eine Abkürzung am Zeilenende (insbesondere bei Titeln/Ämtern wie hier beim Bezirkskommandanten) zur Form 'period', an"
Bibra-Irmels,hausen,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil 'hausen' ist kleingeschrieben und vervollständigt den Orts- bzw. Familiennamen Bibra-Irmelshausen.
Bien,gräber,join,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Nachnamen 'Biengräber'; da der zweite Teil klein geschrieben ist, muss das Wort zusammengesetzt werden."
Bis,singen-Nippenburg,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt kleingeschrieben ('singen'), was auf eine Worttrennung mitten im Namen 'Bissingen-Nippenburg' hindeutet."
Bley,leben-Wolf,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt mit einem Kleinbuchstaben ('leben'), was gemäß den Faustregeln fast immer auf ein 'join' hindeutet; es handelt sich um den Namen Bleyleben-Wolf."
Blome,Mac,hyphen,llm,google/gemma-4-31b,2026-08-25,"Doppelname einer Person (Blome-Mac Nevin), analog zum vorangehenden Beispiel 'Fries-Skene'."
Blusen,Strandkomplets,comma,llm,google/gemma-4-31b,2026-08-25,"Teil einer Aufzählung von Kleidungsstücken (Lingeriekleider, Blusen, Strandkomplets)."
Bornemisza,Graf,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Aufzählung verschiedener Personen (Namensliste), bei der die Namen durch Beistriche getrennt werden."
Bossi-Fedrigotti,geb,comma,llm,google/gemma-4-31b,2026-08-25,"Die Abkürzung 'geb.' (geborene) leitet die Angabe des Geburtsnamens ein, was in diesen Listen typischerweise durch einen Beistrich vom Ehenamen getrennt wird."
Bossi-Fedrigotti,und,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um eine Aufzählung von Personen; das Wort 'und' verbindet den Namen Bossi-Fedrigotti mit weiteren Personen ohne Satzzeichen.
Botsch,Rat,period,llm,google/gemma-4-31b,2026-08-25,"Abkürzung eines Titels (Botschaftsrat), analog zum Beispiel 'Geh. Rat'."
Botsch,Rates,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um das Kompositum 'Botschaftsrat'. Da der erste Teil (hier abgekürzt als 'Botsch.') auf '-s' endet, ist gemäß den Faustregeln die Form 'hyphen' (Botsch.-Rates) gegenüber 'join' vorzuzi"
Botsch,Sekr,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Botschaftssekretär), das in dieser Zeitung typischerweise mit Bindestrich gesetzt wird, insbesondere da das erste Glied auf -s endet."
Bourbon-Parma,und,split,llm,google/gemma-4-31b,2026-08-25,Einfache Aufzählung von Personen mittels der Konjunktion 'und'; kein Satzzeichen oder Bindestrich erforderlich.
Bourbon-Sizilien,Infantin,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Apposition; der Titel 'Infantin von Spanien' wird durch ein Komma vom Hausnamen 'Bourbon-Sizilien' getrennt, wie in Beispiel 1 explizit gezeigt."
Bourbon-Sizilien,die,split,llm,google/gemma-4-31b,2026-08-25,In Kontext 1 folgt auf den Namen direkt das Objekt 'die Hand zum Ehebunde' (ohne Satzzeichen). In Kontext 2 ist das Komma bereits vorhanden und stellt somit keinen OCR-Fehler eines Trennstrichs dar.
Bourbon-Sizilien,hat,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um die Verbindung von Subjekt (Name) und Prädikat (Verb 'hat'); hier steht kein Satzzeichen.
Brig,Gen,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Brigadier-General), das in dieser Zeitung typischerweise mit Bindestrich gesetzt wird, was auch durch den Beleg in Textstelle 2 ('Brig.-') gestützt wird."
Brig,Kmdo,period,llm,google/gemma-4-31b,2026-08-25,Der linke Teil 'Brig' ist eine Abkürzung für Brigade; gemäß den Regeln wird bei abgekürzten Titeln oder Ämtern am Zeilenende 'period' gewählt.
Brig,Kmdr,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Titelkompositum (Brigade-Kommandeur), das in der Zeitung konsequent mit Bindestrich bzw. als Abkürzung 'Brig.-Kmdr.' gesetzt wird."
Brioni,Seine,period,llm,google/gemma-4-31b,2026-08-25,Brioni ist der Ortsname; 'Seine kgl. Hoheit' leitet einen neuen Satz bzw. einen neuen Listeneintrag ein.
Brix,Werner,comma,llm,google/gemma-4-31b,2026-08-25,Teil einer Aufzählung von Namen/Personen in einer Besetzungsliste.
Bräutigams,Exz,comma,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine Apposition in einer Namensliste: Die soziale Rolle ('Vetter des Bräutigams') wird durch den Namen mit Titel ('Exz. Nikolaus...') näher bestimmt, was im formellen Stil dieser Ze"
Buch,macher,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und bildet zusammen mit dem ersten Teil das Substantiv 'Buchmacher'.
Bucking,hamm-Palace,join,llm,google/gemma-4-31b,2026-08-25,"Das Wort 'Buckingham' wurde am Zeilenende getrennt; der zweite Teil beginnt kleingeschrieben, was auf eine Fortsetzung des Wortstamms hindeutet."
Buckingham,Palace,split,manual,,2026-08-25,"korrigiert"
Buenos,Aires,split,llm,google/gemma-4-31b,2026-08-25,Buenos Aires ist ein Eigenname einer Stadt und wird als zwei separate Wörter geschrieben.
Bund,Min,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung eines Titels (Bundesminister/in); entspricht dem Muster 'türk. Kriegsmin.' aus den Instruktionen.
Bund,Präs,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um ein Titelkompositum (Bundespräsident) in abgekürzter Form; die Zeitung setzt Substantiv-Komposita und Titel sehr oft mit Bindestrich.
Burg,Feistritz,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Namen eines Ortes bzw. einer Burg (Burg Feistritz), was im Deutschen üblicherweise als zwei getrennte Wörter geschrieben wird."
Burg,und,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Ergänzungsstrich bei zusammengesetzten Begriffen (Burg- und Schloßgesessener sowie Burg- und Schönbrunner Schloßtheater), was ein typisches Merkmal dieser Zeit und Zeitung ist"
Bussche,Streithorst,hyphen,llm,google/gemma-4-31b,2026-08-25,Doppelname des Adels
Bülow,Trummer,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelnamen des Adels (Bülow-Trummer), was durch das Korpus und den expliziten Bindestrich in Textstelle 1 belegt ist."
Bülow,Wendhausen,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelnamen, was durch die Korpusbelege und den Kontext bestätigt wird."
Caccia,Dominioni,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen italienischen Doppelnamen, der laut Korpusbelegen in dieser Zeitung ohne Bindestrich als zwei Wörter geschrieben wird."
Campo,bove,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil beginnt klein geschrieben und das Korpus belegt 'Campobove' als ein Wort (italienischer Familienname).
Cap,Arcona&quot,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Namen eines Schiffes (Cap Arcona); die OCR zeigt in zwei von drei Fällen explizit einen Bindestrich, und der zweite Teil ist großgeschrieben."
Carl,Friedrich,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um einen Doppelvorname einer Person; diese werden in der Regel ohne Bindestrich als zwei separate Wörter geschrieben.
Carl,Johann,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um zwei Vornamen einer Person (Carl Johann), die im Deutschen als separate Wörter ohne Bindestrich geschrieben werden."
Carlton,Hotel,hyphen,llm,google/gemma-4-31b,2026-08-25,Kombination aus Eigenname und Substantiv; die Zeitung setzt solche Komposita laut Instruktion bevorzugt mit Bindestrich.
Castell-Castell,in,split,llm,google/gemma-4-31b,2026-08-25,"Der Name 'zu Castell-Castell' wird gefolgt von der Präposition 'in', die eine Ortsangabe ('in Schloß Köstritz') einleitet; es ist kein Satzzeichen erforderlich."
Challenge,Cup,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um ein Substantiv-Kompositum (englischer Begriff), das in dieser Zeitung im Einklang mit der Tendenz, Komposita mit Bindestrichen zu versehen, als 'Challenge-Cup' geschrieben wird."
Champion,Cup,hyphen,llm,google/gemma-4-31b,2026-08-25,"Zusammensetzung aus zwei Substantiven (Fremdwörter), bei der im historischen Kontext dieser Zeitung ein Bindestrich üblich ist."
Chargé,d’affaires,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den französischen diplomatischen Titel 'Chargé d’affaires', der im Deutschen als zwei Wörter (bzw. mit dem Partikel d') geschrieben wird."
Chasse,loup-Laubat,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt klein ('loup'), was auf eine Worttrennung im Stamm hindeutet; zudem handelt es sich um den bekannten Namen Chasseloup-Laubat."
Che,des,split,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um das Wort 'Chef' (OCR-Fehler: f fehlt) und den Artikel 'des'; es sind zwei getrennte Wörter.
Chev,Rgt,period,llm,google/gemma-4-31b,2026-08-25,Abkürzung von Chevaulegers-Regiment; folgt dem Muster von Titeln/Rängen wie 'Geh. Rat'
Chiaramonte,Bordonaro,hyphen,llm,google/gemma-4-31b,2026-08-25,Doppelname einer Person (italienischer Gesandter).
Christoph,Bernhard,hyphen,llm,google/gemma-4-31b,2026-08-25,Es handelt sich um einen Doppelvorname; die Häufigkeitsstatistik im Korpus belegt zudem explizit die Form mit Bindestrich.
Clanner-Engels,hofen,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil 'hofen' ist kleingeschrieben; es handelt sich um den Familiennamen Clanner-Engelshofen, der am Zeilenende getrennt wurde."
Claus,Schenk,split,llm,google/gemma-4-31b,2026-08-25,Vor- und Familienname einer Person ohne Bindestrich.
Cocktail,parties,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den englischen Lehnbegriff 'Cocktail party'. Die Häufigkeitsstatistik im Korpus zeigt, dass die getrennte Schreibweise ('split') am häufigsten vorkommt, gefolgt von der Bindestrich-"
Cocktail,party,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil ist klein geschrieben, was laut Faustregel fast immer auf ein zusammengesetztes Wort hindeutet; 'Cocktailparty' ist die korrekte deutsche Zusammensetzung."
Colloredo,Prinz,comma,llm,google/gemma-4-31b,2026-08-25,Trennung zweier verschiedener Personen in einer Namensliste (Gräfin Colloredo und Prinz Jaroslav Lobkowicz)
Colonna,Czosnowska,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelnamen des Adels, was durch die Belege im Korpus und den Kontext (verheiratet mit/geborene) bestätigt wird."
Cossé,Brissac,hyphen,llm,google/gemma-4-31b,2026-08-25,Doppelname des Adels (Haus Cossé-Brissac).
Coudenhove-Kalergi,geb,split,llm,google/gemma-4-31b,2026-08-25,"In Kontext 1 folgt unmittelbar eine Klammer '(geb.', was bedeutet, dass der Trennstrich lediglich ein Zeilenumbruch war und kein Satzzeichen eingefügt werden darf. In Kontext 2 ist 'geb.' ebenfalls Te"
Coudenhove-Kalergi,wurde,split,llm,google/gemma-4-31b,2026-08-25,Subjekt und Prädikat bilden eine grammatikalische Einheit ohne Satzzeichen dazwischen.
Covent,Garden,split,llm,google/gemma-4-31b,2026-08-25,Covent Garden ist ein Eigenname (Londoner Stadtteil/Theater) und wird als zwei separate Wörter geschrieben.
Crêpe-Lavable,Kombinationen,hyphen,llm,google/gemma-4-31b,2026-08-25,"Zusammengesetztes Substantiv (Modeartikel); der zweite Teil ist großgeschrieben, was gemäß Faustregel auf 'hyphen' hindeutet."
Csáky-Pallavicini,und,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um eine einfache Aufzählung von Personen ('X und Y'), bei der zwischen dem Namen und der Konjunktion 'und' kein Satzzeichen steht."
Czekelius,Rosenfeld,hyphen,llm,google/gemma-4-31b,2026-08-25,Doppelname eines Adelsgeschlechts
Dampf,maschine,join,llm,google/gemma-4-31b,2026-08-25,Zweiter Teil klein geschrieben; es handelt sich um das zusammengesetzte Substantiv 'Dampfmaschine'.
Dank,bar,join,llm,google/gemma-4-31b,2026-08-25,"Das Wort ist das Adjektiv 'dankbar'; der zweite Teil beginnt klein, was auf eine Trennung mitten im Wort hindeutet."
Dankes,worten,join,llm,google/gemma-4-31b,2026-08-25,Der zweite Teil ist kleingeschrieben und beide Teile bilden zusammen das Substantiv 'Dankesworten'.
Dentice,Frasso,hyphen,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um einen Doppelnamen einer Person (italienischer Adel), was gemäß den Regeln für diese Zeitung als 'hyphen' zu behandeln ist."
Depen,dance,join,llm,google/gemma-4-31b,2026-08-25,Das Wort 'Dependance' (Annex/Zweigstelle) wurde mitten im Stamm zerschnitten; der zweite Teil beginnt klein.
Des,Fours-Walderode,split,llm,google/gemma-4-31b,2026-08-25,"Es handelt sich um den Namen 'Des Fours-Walderode'. Das 'Des' ist ein Namenspartikel (ähnlich wie 'von'), der als separates Wort vor dem eigentlichen Doppelnamen steht."
Deutsch,Südwestafrika,hyphen,llm,google/gemma-4-31b,2026-08-25,"Geographischer Eigenname einer Kolonie, der standardmäßig mit Bindestrich geschrieben wird."
Dichter,in,split,llm,google/gemma-4-31b,2026-08-25,"Der Artikel 'der' und die folgende Präpositionalphrase 'in den duftigen...' zeigen, dass 'Dichter' ein eigenständiges Substantiv ist und 'in' den Beginn einer Orts- oder Artangabe markiert."
Diesen,berg-Hanxleden,join,llm,google/gemma-4-31b,2026-08-25,"Der zweite Teil beginnt kleingeschrieben ('berg'), was auf eine Worttrennung mitten im Namen (Diesenberg-Hanxleden) hindeutet."
Dirk,Fock,split,llm,google/gemma-4-31b,2026-08-25,Vor- und Nachname einer Person werden ohne Satzzeichen getrennt geschrieben.
