verdict,margin_band,token_band,has_next,observed,proposed,margin,context,file,page,line_facs,subtype,transkribus_link
y,>=16,long,1,vieler,vielen,17.5,obgenannten Blattes. Nicht zu sprechen von den [vieler] liebenswürdigen,ONB_wsb_19200724.xml,7,facs_7_tr_1738871928_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,long,1,halber,halben,21.9,den Karpathen mit dem Kostenaufwande von einer [halber] Million,ONB_wsb_19151002.xml,8,facs_8_tr_1781988394_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,long,1,derer,deren,16.8,"Liebesgaben, mit [derer] Verteilung",ONB_wsb_19160415.xml,3,facs_3_tr_1780432395_tl_20,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=16,long,1,geistigen,geistiger,16.6,Wochen der vollkommensten körperlichen und [geistigen] Frische,ONB_wsb_19160715.xml,10,facs_10_tr_1780432101_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=16,long,1,bunter,bunten,16.6,"heerenden Zauberstab alles Leben vernichtet, die [bunter] Blumen",ONB_wsb_19200501.xml,8,facs_8_tr_1738849796_tl_16,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,long,1,zweiter,zweiten,18.3,einer verstärkten Jazzkapelle mit Eifer getanzt. Im [zweiter] Stock,ONB_wsb_19380123.xml,9,facs_9_tr_1766143767_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
y,>=16,long,1,derer,deren,16.1,Arz geb. Irma v. Kis und [derer] Tochter,ONB_wsb_19160527.xml,4,facs_4_tr_1780432264_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,long,1,schwarzer,schwarzen,17.7,(weißer Liberty mit einem Arrangement von [schwarzer] Chantillyspitzen,ONB_wsb_19140214.xml,12,facs_12_tr_1784277989_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=16,long,1,älterer,älteren,16.4,"Erbgrafen Georg Fugger v. Babenhausen, des [älterer] Sohnes",ONB_wsb_19140124.xml,2,facs_2_tr_1784278097_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,long,1,größter,größten,17.8,"offensive, die in siebzehn Tagen zur Befreiung des [größter] Teiles",ONB_wsb_19170811.xml,12,facs_12_tr_1779048935_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=16,long,1,erster,ersten,21.5,Mähr.-Ostrau am 7. August erfolgte Geburt ihres [erster] Kindes,ONB_wsb_19200821.xml,4,facs_4_tr_1738871987_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,long,1,erster,ersten,17.8,den stilvollen Sälen im [erster] Stockwerke,ONB_wsb_19140124.xml,9,facs_9_r_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
y,>=16,long,1,erster,ersten,21.5,Böselager wurde in Wildshausen b. Oeventrop ihres [erster] Kindes,ONB_wsb_19360823.xml,4,facs_4_tr_1765493384_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,long,1,wahrer,wahren,23.4,"wurden bestiegen, die Fahrt ging unter einem [wahrer] Blumenregen",ONB_wsb_19301109.xml,7,facs_7_tr_1754165112_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,long,1,künstlerischer,künstlerischen,23.6,"Tafeltücher, Bettdecken usw. nach eigenen [künstlerischer] Entwürfen",ONB_wsb_19281111.xml,6,facs_6_tr_1753391536_tl_3,ad-content,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
y,>=16,short,1,vor,von,17.0,"er möge König Edward VIII., der jetzt von Gottes Gnaden König [vor] England",ONB_wsb_19360209.xml,12,facs_12_tr_1765493112_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=16,short,1,vor,von,17.3,"Parma, Prinzessin Margrethe geb. Prinzessin [vor] Dänemark",ONB_wsb_19220624.xml,2,facs_2_tr_1748188210_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,un,um,21.7,vergängliche Verdienste [un] die,ONB_wsb_19170901.xml,3,facs_3_tr_1779048890_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=16,short,1,is,im,18.5,"Dasein zu rüsten? Wie dem auch sei, Prinz Karneval [is] eben",ONB_wsb_19210122.xml,13,facs_13_tr_1739921048_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
y,>=16,short,1,vor,von,19.1,Eugenie Gabriele zu Wien mit dem Prinzen Elias [vor] Bourbon,ONB_wsb_19150410.xml,2,facs_2_tr_1781988921_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,vor,von,17.7,Enkel weiland Seiner Hoheit des Herzogs Elimar [vor] Oldenburg,ONB_wsb_19300511.xml,8,facs_8_tr_1754165255_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,short,1,vor,von,17.2,Elisabeth geb. Prinzessin [vor] Rumänien,ONB_wsb_19241116.xml,2,facs_2_tr_1751061664_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,vor,von,17.5,rette geb. Prinzessin [vor] Preußen,ONB_wsb_19241005.xml,5,facs_5_tr_1751061707_tl_31,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=16,short,1,vor,von,16.5,"in den Händen eines Komitees, welchem der Herzog [vor] Salandra",ONB_wsb_19290512.xml,17,facs_17_tr_1753561209_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
y,>=16,short,1,vor,von,17.2,fried geb. Prinzessin [vor] Bayern,ONB_wsb_19270206.xml,4,facs_4_tr_1752356409_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,short,1,vor,von,18.4,begrüßt worden waren. Dem Diner waren der Bischof [vor] Steinamanger,ONB_wsb_19140516.xml,4,facs_4_tr_1784277658_tl_23,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,short,1,vor,von,17.2,Wrbna geb. Prinzessin [vor] Bayern,ONB_wsb_19240216.xml,8,facs_8_tr_1751061612_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,short,1,vor,von,17.9,"Thoß, Gräfin Felicie Waldstein — Erbprinz Albrecht [vor] Bayern",ONB_wsb_19351103.xml,7,facs_7_tr_1764797703_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,short,1,vor,von,16.1,nien statt. Außer Ihren kgl. Hoheiten dem Prinzen [vor] Wales,ONB_wsb_19280624.xml,3,facs_3_tr_1753391342_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=16,short,1,vor,von,18.7,"Kriegsmin. GenOberst Freiherr Krobatin, Bischof [vor] Großwardein",ONB_wsb_19170331.xml,7,facs_7_tr_1779049301_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,short,1,vor,von,16.3,"tungen, die ich nie auseinanderfaltete, ein neues Buch [vor] Claude",ONB_wsb_19200124.xml,9,facs_9_tr_1738849748_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=16,short,1,di,de,22.2,"richtiger Beliebtheit erfreute, und Ihre Exz. Mme Régis [di] Oliveira",ONB_wsb_19340729.xml,2,facs_2_tr_1763317908_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,vor,von,18.8,"suchen gekommen, verstarb plötzlich die Herzogin [vor] Albany",ONB_wsb_19220923.xml,5,facs_5_tr_1748188287_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=16,short,1,an,am,18.6,Dreihann u. Sulzberg [an] Steinhof,ONB_wsb_19150501.xml,9,facs_9_r_2_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
y,>=16,short,1,vor,von,17.3,geb. kgl. Prinzessin [vor] Großbritannien,ONB_wsb_19241005.xml,5,facs_5_tr_1751061707_tl_19,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=16,short,1,im,in,16.0,sten Monate in Otz [im] Otztal,ONB_wsb_19210528.xml,5,facs_5_tr_1748027699_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=16,short,1,vor,von,17.4,Seine kgl. Hoheit Prinz August Wilhelm [vor] Preußen,ONB_wsb_19371017.xml,3,facs_3_tr_1766143614_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=16,short,1,au,an,17.7,sonders auf. KommRat Karl Strakosch wie immer [au] einem,ONB_wsb_19300622.xml,14,facs_14_tr_1754164856_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
y,>=16,short,1,vor,von,16.1,"und Töchtern, darunter Dr. Louis Ferdinand Prinzen [vor] Preußen",ONB_wsb_19380220.xml,8,facs_8_tr_1766143838_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=16,short,1,vor,von,17.6,"lien, Prinzessin Alfons von Bourbon-Sizilien Infantin von Spanien, Prinzessin Helmtrud von Bayern, Prinzessin Mercedes [vor] Bayern",ONB_wsb_19371003.xml,3,facs_3_tr_1766143591_tl_18,image-caption,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=16,short,1,da,de,21.7,Gama a. d. H. der Condes [da] Ponte,ONB_wsb_19351103.xml,3,facs_3_tr_1764797705_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=16,short,1,vor,von,16.4,Mitkämpfer der Seeschlacht [vor] Lissa,ONB_wsb_19310830.xml,11,facs_11_tr_1758291085_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=16,short,1,vor,von,18.6,Hof. der Herzogin [vor] Württemberg,ONB_wsb_19211029.xml,7,facs_7_tr_1748027632_tl_19,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,short,1,vor,von,17.3,Großbritannien und Irland geb. Prinzessin [vor] Dänemark,ONB_wsb_19251129.xml,2,facs_2_tr_1751545375_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=16,short,1,dem,des,16.9,gere Freiin Marie als EDame [dem] adel,ONB_wsb_19150911.xml,5,facs_5_tr_1781988459_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=12,long,1,seinen,seinem,12.8,Das Baltische Rote Kreuz zu Berlin gab [seinen] traditionellen,ONB_wsb_19341216.xml,12,facs_12_tr_1763318108_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=12,long,1,allem,allen,12.9,geschützt und ist mit [allem] erdenklichen,ONB_wsb_19290203.xml,3,facs_3_tr_1753560938_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,long,1,diesen,dieser,15.5,her bestens empfohlen werden kann. Man erhält [diesen] ausgezeichneten,ONB_wsb_19160812.xml,12,facs_12_r_tl_7,ad-content,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=12,long,1,dankbaren,dankbarer,12.7,sichtbares Zeichen Seines Vertrauens und Seiner [dankbaren] Anerkennung,ONB_wsb_19170414.xml,8,facs_8_tr_1779049265_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,long,1,begeisterter,begeisterten,13.2,Stadt Tarnopol war der Souverän Gegenstand [begeisterter] Huldigungen,ONB_wsb_19170804.xml,3,facs_3_tr_1779048983_tl_17,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,long,1,schwerem,schwerer,13.0,"dünne, gazeartige Crêpes in Verbindung mit [schwerem] Satin",ONB_wsb_19340325.xml,11,facs_11_tr_1763317737_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=12,long,1,junger,jungen,15.0,"der, selbst ein Datterich, als verlumpter Student in [junger] Jahren",ONB_wsb_19170908.xml,9,facs_9_tr_1779048859_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=12,long,1,glänzender,glänzenden,13.9,"ger Baron, von [glänzender] Darstellung",ONB_wsb_19190125.xml,11,facs_11_tr_1732354706_tl_28,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=12,long,1,beider,beiden,12.7,herrin zu sorgen. Den egoistischen Interessen der [beider] ersten,ONB_wsb_19341230.xml,15,facs_15_tr_1763318140_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=12,long,1,verschiedener,verschiedenen,12.7,durch reiche und wiederholte Unterstützungen [verschiedener] Fonds,ONB_wsb_19170127.xml,7,facs_7_tr_1779049467_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=12,long,1,deutscher,deutschen,15.3,und ihm die erste Klasse des Ehrenzeichens vom [deutscher] Roten,ONB_wsb_19241130.xml,7,facs_7_tr_1751061528_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=12,long,1,wirtschaftlicher,wirtschaftlichen,12.9,wurden und dort eine Reihe wichtiger [wirtschaftlicher] Fragen,ONB_wsb_19190719.xml,7,facs_7_tr_1733047422_tl_30,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=12,long,1,seiner,seinen,14.1,"Der allgemein beliebte Kurort, der Mitte Juni [seiner] hundertjährigen",ONB_wsb_19340715.xml,13,facs_13_tr_1763317901_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
y,>=12,long,1,ihrer,ihren,14.3,"wie alljährlich, [ihrer] Sommersitz",ONB_wsb_19310621.xml,3,facs_3_tr_1758291000_tl_17,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,long,1,herrlichen,herrlicher,14.1,"Cape, dazu einen weißbraunen Hut trug und [herrlichen] Perlenschmuck",ONB_wsb_19320911.xml,6,facs_6_tr_1761041457_tl_11,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
y,>=12,long,1,einer,einen,15.0,schicken sie einen reitenden Boten und ich werde [einer] Brief,ONB_wsb_19210219.xml,10,facs_10_tr_1739921063_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,long,1,weißer,weißem,12.5,"Es gab allerlei zarte Kombinationen, z. B. [weißer] Tüll",ONB_wsb_19200306.xml,10,facs_10_tr_1738849815_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=12,long,1,einiger,einigen,12.5,"Ernst, Eugen und Wolfgang teilte, besuchte bis vor [einiger] Monaten",ONB_wsb_19151023.xml,3,facs_3_tr_1781988336_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,long,1,einen,einem,13.0,"von Karl Pauspertl bearbeitet, des Meisters Blüten in [einen] Guß",ONB_wsb_19310104.xml,16,facs_16_tr_1758290755_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=12,long,1,leidet,leiden,15.7,"verhindert werden, daß die Bevölkerung finanziell mehr [leidet] als",ONB_wsb_19160923.xml,12,facs_12_tr_1780431920_tl_19,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=12,long,1,einer,einen,15.1,Schußwunde am rechten Arme halber sich dann [einer] dreimonatlichen,ONB_wsb_19170127.xml,7,facs_7_tr_1779049475_tl_20,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=12,long,1,weißer,weißem,12.6,Erl. Gräfin Wurmbrand-Schenck fungierte (Toilette: [weißer] Silberbrokat,ONB_wsb_19140214.xml,11,facs_11_tr_1784278001_tl_11,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=12,long,1,verschiedener,verschiedenen,13.1,Uraufführung. Wirtschaftliche Verwicklungen [verschiedener] Klassen,ONB_wsb_19310524.xml,17,facs_17_tr_1758290962_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=12,long,1,hohes,hohem,13.1,der Verletzung der Niere und Leber stellte sich [hohes] Fieber,ONB_wsb_19360809.xml,3,facs_3_tr_1765493336_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,long,1,betrauert,betrauern,13.2,Chefs des Generalstabes. Den Dahingegangenen [betrauert] seine,ONB_wsb_19270306.xml,13,facs_13_tr_1752356131_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=12,long,1,weißer,weißem,12.5,"chiffon mit Smaragden), Gräfin Welsersheimb [weißer] Crêpe",ONB_wsb_19350224.xml,13,facs_13_r_tl_60,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
n,>=12,long,1,seinen,seinem,13.5,"Albert Graf Nemes, der am 18. November l. J. [seinen] fünfzigsten",ONB_wsb_19161223.xml,8,facs_8_tr_1780308997_tl_9,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,long,1,erfolgreicher,erfolgreichen,13.1,ungar. Herrenreiterverbandes eine Anzahl [erfolgreicher] Ritte,ONB_wsb_19300427.xml,12,facs_12_tr_1754165088_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=12,long,1,freier,freien,15.4,Steuerfanatikern [freier] Spielraum,ONB_wsb_19180427.xml,11,facs_11_tr_1769553422_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=12,long,1,großer,großen,13.6,aus dem nun schon so stark gelichteten Kreise der [großer] Damen,ONB_wsb_19341007.xml,15,facs_15_tr_1763318028_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
y,>=12,short,1,vor,von,13.5,verweser Nikolaus [vor] Horthy,ONB_wsb_19210903.xml,3,facs_3_r_3_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=12,short,1,vor,von,15.4,der Regierung der Vereinigten Staaten [vor] Amerika,ONB_wsb_19180928.xml,8,facs_8_tr_1769554121_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,short,1,es,er,14.2,"kommen. Er sagte mir so oft dasselbe, aber ich hörte [es] gern",ONB_wsb_19250222.xml,16,facs_16_tr_1751545459_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=12,short,1,den,der,12.2,Aktes spielte Meister Alfred Grünfeld unter anderem [den] Straußschen,ONB_wsb_19190215.xml,10,facs_10_tr_1732372296_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,short,1,der,des,13.2,eines Erbmarschalls der heil. röm. Kirche und Hüters [der] Konklave,ONB_wsb_19310621.xml,4,facs_4_tr_1758291013_tl_35,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=12,short,1,auf,aus,15.0,ihres Gatten am 10. d. M. unter großer Anteilnahme [auf] nah,ONB_wsb_19370613.xml,9,facs_9_tr_1766143438_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=12,short,1,dem,den,12.3,am meisten [dem] reizvollsten,ONB_wsb_19340506.xml,10,facs_10_tr_1763317799_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,short,1,au,an,14.8,(Blasius) Graf Forgách v. Ghymes (s. das Bild [au] dieser,ONB_wsb_19150123.xml,9,facs_9_tr_1781989138_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=12,short,1,dei,der,12.6,einer alten süditalienischen Familie. Er war mit Emilia [dei] Baroni,ONB_wsb_19231222.xml,8,facs_8_tr_1750157591_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,short,1,vom,von,12.6,15. d. M. wurde sodann die holländische Abordnung [vom] Fürsterzbischof,ONB_wsb_19200124.xml,3,facs_3_tr_1738849779_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,short,1,der,des,13.3,Abend. Die Künstlerin schuf mit ihrem Gretchen [der] Goetheschen,ONB_wsb_19160527.xml,8,facs_8_tr_1780432270_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=12,short,1,vor,von,14.5,"Stomarn, der Dithmarschen u. Oldenburg, Fürsten [vor] Lübeck",ONB_wsb_19201002.xml,5,facs_5_tr_1738871967_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
