verdict,margin_band,token_band,has_next,observed,proposed,margin,context,file,page,line_facs,subtype,transkribus_link
y,>=16,short,1,vor,von,17.2,fried geb. Prinzessin [vor] Bayern,ONB_wsb_19270206.xml,4,facs_4_tr_1752356409_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,short,1,vor,von,16.1,nien statt. Außer Ihren kgl. Hoheiten dem Prinzen [vor] Wales,ONB_wsb_19280624.xml,3,facs_3_tr_1753391342_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=16,short,1,vor,von,17.0,"er möge König Edward VIII., der jetzt von Gottes Gnaden König [vor] England",ONB_wsb_19360209.xml,12,facs_12_tr_1765493112_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=16,short,1,un,um,16.8,schon lange nicht sah. Mit [un] endlich,ONB_wsb_19330924.xml,13,facs_13_r_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
y,>=16,short,1,vor,von,16.5,"Gemahlin Sophie geb. de La Fontaine, Prinz Alexander [vor] Hessen",ONB_wsb_19281125.xml,18,facs_18_tr_1753391448_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=18
y,>=16,short,1,vor,von,16.4,Wir veröffentlichen neuerdings Ehrentafeln [vor] Mitgliedern,ONB_wsb_19190525.xml,5,facs_5_tr_1732823318_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=16,short,1,vor,von,17.3,"Parma, Prinzessin Margrethe geb. Prinzessin [vor] Dänemark",ONB_wsb_19220624.xml,2,facs_2_tr_1748188210_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,vor,von,19.1,Eugenie Gabriele zu Wien mit dem Prinzen Elias [vor] Bourbon,ONB_wsb_19150410.xml,2,facs_2_tr_1781988921_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,vor,von,17.4,Seine kgl. Hoheit Prinz August Wilhelm [vor] Preußen,ONB_wsb_19371017.xml,3,facs_3_tr_1766143614_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=16,short,1,vor,von,18.4,begrüßt worden waren. Dem Diner waren der Bischof [vor] Steinamanger,ONB_wsb_19140516.xml,4,facs_4_tr_1784277658_tl_23,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
y,>=16,short,1,vor,von,17.3,Großbritannien und Irland geb. Prinzessin [vor] Dänemark,ONB_wsb_19251129.xml,2,facs_2_tr_1751545375_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
y,>=16,short,1,vor,von,17.3,geb. kgl. Prinzessin [vor] Großbritannien,ONB_wsb_19241005.xml,5,facs_5_tr_1751061707_tl_19,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=16,short,1,Dem,Der,19.5,eigenhändiger Widmung. [Dem] Festakt,ONB_wsb_19360307.xml,13,facs_13_tr_1765493152_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=13
y,>=16,short,1,vor,von,17.9,"Thoß, Gräfin Felicie Waldstein — Erbprinz Albrecht [vor] Bayern",ONB_wsb_19351103.xml,7,facs_7_tr_1764797703_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
y,>=16,short,1,vor,von,16.2,"Preis vom Mittersteig (1600 S), der Preis [vor] Nizza",ONB_wsb_19370502.xml,14,facs_14_tr_1766143373_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
y,>=16,short,1,vor,von,16.1,"und Töchtern, darunter Dr. Louis Ferdinand Prinzen [vor] Preußen",ONB_wsb_19380220.xml,8,facs_8_tr_1766143838_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,long,0,dauern,dauert,12.8,in manchen Gegenden bis in den April hinein [dauern]  [paragraph ends],ONB_wsb_19290106.xml,16,facs_16_tr_1753561394_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=12,long,0,Werken,Werkes,14.4,seinen menschenfreundlichen [Werken]  [paragraph ends],ONB_wsb_19290303.xml,14,facs_14_tr_1753561395_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=12,long,0,veranstalten,veranstaltet,13.1,vereinigung und der Klub der Herrenfahrer [veranstalten]  [paragraph ends],ONB_wsb_19270403.xml,14,facs_14_tr_1752356468_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=12,long,0,betrauern,betrauert,12.9,Freunde tief [betrauern]  [paragraph ends],ONB_wsb_19260307.xml,9,facs_9_tr_1752222512_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=12,long,0,Pferdes,Pferden,13.4,gezogenen [Pferdes]  [paragraph ends],ONB_wsb_19351020.xml,15,facs_15_tr_1764797674_tl_2,heading,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=12,long,0,eröffnen,eröffnet,13.0,pressequartiers« im Wiener Künstlerhause [eröffnen]  [paragraph ends],ONB_wsb_19150925.xml,7,facs_7_tr_1781988410_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=12,long,0,verbinden,verbindet,13.0,Beziehungen herzlicher Freundschaft [verbinden]  [paragraph ends],ONB_wsb_19360517.xml,10,facs_10_tr_1765493233_tl_28,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,long,1,ungarischer,ungarischen,12.0,Eine Abordnung [ungarischer] Pilger,ONB_wsb_19241116.xml,2,facs_2_tr_1751061654_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=12,long,1,Marchese,Marchesa,12.0,"und LegRat Rotter, LegSekr. Lichetti, LegSekr. [Marchese] Lanza",ONB_wsb_19360307.xml,6,facs_6_tr_1765493152_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
y,>=12,long,1,seltenen,seltener,13.2,witwe Rosemarie v. Redlich-Redenbruck in [seltenen] geistiger,ONB_wsb_19291208.xml,6,facs_6_tr_1753561060_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=12,long,1,dieser,dieses,12.3,von Berlichingen&quot; und bewies Kultur und Tradition [dieser] deutschen,ONB_wsb_19380626.xml,16,facs_16_tr_1766144009_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=12,long,1,weißer,weißem,12.9,"Liberty mit schwarzem Samt), die Gräfin Hartenau [weißer] Gaze",ONB_wsb_19140307.xml,17,facs_17_tr_1784277915_tl_32,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=12,long,1,Marchese,Marchesa,12.3,"stein, Senator [Marchese] Theodoli",ONB_wsb_19380320.xml,7,facs_7_tr_1766143861_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=12,long,1,Gabriella,Gabrielle,13.2,Gräfin [Gabriella] Szirmay,ONB_wsb_19290317.xml,10,facs_10_tr_1753561314_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
y,>=12,long,1,dritter,dritten,13.5,Sohne und [dritter] Kinde,ONB_wsb_19380320.xml,3,facs_3_tr_1766143868_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
y,>=12,long,1,echten,echtem,13.9,putz und Garnituren von weißen Spitzen und mit [echten] Schmucke,ONB_wsb_19180928.xml,8,facs_8_tr_1769554123_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,long,1,allen,alles,13.5,ihrer Vermählung. Das erzherzogliche Paar wollte [allen] aus,ONB_wsb_19341021.xml,2,facs_2_tr_1763318019_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=12,long,1,weniger,wenigen,12.8,Modell in Schwarz-Weiß illustriert trotz seiner [weniger] großen,ONB_wsb_19330312.xml,15,facs_15_tr_1762177556_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=12,long,1,gelungenes,gelungenen,12.9,ments ein glänzend [gelungenes] Ballfest,ONB_wsb_19360307.xml,11,facs_11_tr_1765493140_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=12,long,1,gelungener,gelungenen,15.6,machte sich um das Zustandekommen des [gelungener] Abends,ONB_wsb_19320410.xml,16,facs_16_tr_1761041228_tl_16,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=16
n,>=12,long,1,einen,eines,12.4,anno 1815 leihen der Komödie [einen] vornehmen,ONB_wsb_19151211.xml,10,facs_10_tr_1781988222_tl_11,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,long,1,erfolgreicher,erfolgreichen,13.1,ungar. Herrenreiterverbandes eine Anzahl [erfolgreicher] Ritte,ONB_wsb_19300427.xml,12,facs_12_tr_1754165088_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
y,>=12,long,1,meines,meinem,12.0,Krisis übernahm ich über Aufforderung die Leitung [meines] geliebten,ONB_wsb_19190906.xml,3,facs_3_r_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=3
n,>=12,long,1,Isabelle,Isabella,12.9,Louise d’Orléans mit ihrer Tochter Infantin [Isabelle] Alfonsa,ONB_wsb_19230818.xml,2,facs_2_tr_1750157401_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=12,short,1,der,des,13.2,eines Erbmarschalls der heil. röm. Kirche und Hüters [der] Konklave,ONB_wsb_19310621.xml,4,facs_4_tr_1758291013_tl_35,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=12,short,1,dem,den,12.3,am meisten [dem] reizvollsten,ONB_wsb_19340506.xml,10,facs_10_tr_1763317799_tl_8,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,short,1,den,der,13.1,"hat einen jüngeren Bruder, [den] dreizehn",ONB_wsb_19140614.xml,7,facs_7_tr_1784277591_tl_14,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=12,short,1,dei,der,12.6,einer alten süditalienischen Familie. Er war mit Emilia [dei] Baroni,ONB_wsb_19231222.xml,8,facs_8_tr_1750157591_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
y,>=12,short,1,vor,von,12.3,von Griechenland und folgende Paare: Kronprinz [vor] Italien,ONB_wsb_19290303.xml,8,facs_8_tr_1753561394_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=12,short,1,daß,das,14.7,"geben und bewiesen, [daß] nationale",ONB_wsb_19380612.xml,14,facs_14_tr_1766143997_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
y,>=12,short,1,vor,von,14.5,"Stomarn, der Dithmarschen u. Oldenburg, Fürsten [vor] Lübeck",ONB_wsb_19201002.xml,5,facs_5_tr_1738871967_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
y,>=12,short,1,un,um,14.8,"Warden Mac Wilson verließ am 25. v. M. Wien, [un] seinen",ONB_wsb_19250712.xml,10,facs_10_tr_1751545587_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=12,short,1,Des,Dem,12.9,1653. 20. Nov. [Des] Wohl,ONB_wsb_19170901.xml,11,facs_11_tr_1779048896_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=12,short,1,dar,das,13.7,nuela v. Götzen geb. Gräfin Khuen v. Belasi [dar] die,ONB_wsb_19180126.xml,5,facs_5_tr_1769553005_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=12,short,1,den,des,13.3,"Tee besichtigten die Hoheiten, geführt vom Préfet, [den] Cerche",ONB_wsb_19290414.xml,2,facs_2_tr_1753561089_tl_13,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=12,short,1,gew,geb,12.3,"Seiner Durchlaucht Alexander Fürsten Sulkowski, [gew] Rittmeisters",ONB_wsb_19190920.xml,5,facs_5_tr_1734448927_tl_21,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=12,short,1,dar,das,13.0,"wärtigen Staaten, [dar] unter",ONB_wsb_19380807.xml,11,facs_11_r_2_tl_24,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
y,>=12,short,1,der,dei,13.5,"cesco Duca di Bomarz, verm. mit Francesca Salviati [der] Duchi",ONB_wsb_19140725.xml,14,facs_14_tr_1784277429_tl_16,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=12,short,1,dar,das,13.1,Vor allem aber soll jeder Automobilist in erster Linie [dar] auf,ONB_wsb_19290106.xml,20,facs_20_tr_1753561397_tl_27,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=20
n,>=12,short,1,vor,von,12.6,"und Klavierwerke, die an Friedrich Schadler einen [vor] bildlichen",ONB_wsb_19340101.xml,14,facs_14_tr_1762173545_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=12,short,1,dar,das,13.1,"des Deutschlandliedes. Immer neu hob Jubel an, als [dar] auf",ONB_wsb_19300817.xml,10,facs_10_tr_1754164833_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,long,0,veranstalten,veranstaltet,11.1,im Konzerthaus ein eigenes Konzert [veranstalten]  [paragraph ends],ONB_wsb_19230310.xml,10,facs_10_tr_1750157340_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,long,0,Armen,Armel,11.3,mit offenen [Armen]  [paragraph ends],ONB_wsb_19370613.xml,8,facs_8_tr_1766143423_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=10,long,0,berichten,berichtet,11.9,in der nächsten Folge [berichten]  [paragraph ends],ONB_wsb_19290203.xml,12,facs_12_tr_1753560937_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,0,bereiten,bereitet,11.4,Leserkreisen viele schöne Stunden [bereiten]  [paragraph ends],ONB_wsb_19271127.xml,20,facs_20_tr_1752356116_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=20
n,>=10,long,0,Baworowska,Baworowski,11.7,Emil und Adam [Baworowska]  [paragraph ends],ONB_wsb_19310215.xml,17,facs_17_tr_1758290823_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=17
n,>=10,long,0,übersiedelt,übersiedeln,10.5,heide in Schlesien [übersiedelt]  [paragraph ends],ONB_wsb_19311220.xml,9,facs_9_tr_1758291242_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,long,0,gestalten,gestaltet,10.3,freilich anders [gestalten]  [paragraph ends],ONB_wsb_19171020.xml,10,facs_10_tr_1779048749_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=10
n,>=10,long,0,findet,finden,10.5,Friedenswille kein Echo [findet]  [paragraph ends],ONB_wsb_19171230.xml,12,facs_12_tr_1779049550_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,0,Festes,Festen,11.4,aus gelungenen [Festes]  [paragraph ends],ONB_wsb_19250614.xml,15,facs_15_tr_1751545461_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=15
n,>=10,long,0,findet,finden,11.1,land an offizieller Stelle Widerhall [findet]  [paragraph ends],ONB_wsb_19160722.xml,12,facs_12_tr_1780432114_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,großen,großer,10.4,deren Aufnahme Seite 1 zeigt — bei der so überaus [großen] Popularität,ONB_wsb_19210611.xml,5,facs_5_tr_1748027659_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=5
n,>=10,long,1,seines,seiner,11.8,"mer, seines Hausarztes Dozenten Dr. Singer und [seines] treuen",ONB_wsb_19240706.xml,6,facs_6_tr_1751061675_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,eines,einen,10.3,"schen Gesprächen bestehende, im Junggesellenheime [eines] fotten",ONB_wsb_19151113.xml,8,facs_8_tr_1781988307_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=8
n,>=10,long,1,Zamoyski,Zamoyska,12.0,Grafen Ladislaus-Leo und der Gräfin Sophie [Zamoyski] geb,ONB_wsb_19300302.xml,9,facs_9_tr_1754165078_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=9
n,>=10,long,1,dieser,diesen,10.6,"Genius vom schaffenden Geiste erhalten hat, darf in [dieser] schrecklichen",ONB_wsb_19190405.xml,7,facs_7_tr_1734018705_tl_6,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,long,1,reizender,reizenden,11.9,"trug, entzückend aussah, war von einem Kranze [reizender] Kranzeljungfern",ONB_wsb_19340701.xml,6,facs_6_tr_1763317876_tl_15,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,Meines,Meinen,10.8,In den jüngsten Tagen hat das Hinscheiden [Meines] geliebten,ONB_wsb_19140711.xml,6,facs_6_tr_1784277467_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=6
n,>=10,long,1,Christl,Christa,10.9,"kirche zu Wien, III., die Trauung des Fräulein [Christl] v",ONB_wsb_19330730.xml,11,facs_11_r_1_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=11
n,>=10,long,1,diesen,dieser,10.8,Die deutsche Regierung konnte mit Recht auf [diesen] Umstand,ONB_wsb_19180406.xml,12,facs_12_tr_1769553321_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,anderer,anderen,10.4,Der Wiener Bank-Verein war gleich [anderer] Banken,ONB_wsb_19320605.xml,18,facs_18_tr_1761041295_tl_1,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=18
n,>=10,long,1,trat,traf,10.2,"des Königs der Belgier, [trat] am",ONB_wsb_19311025.xml,2,facs_2_tr_1758291173_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,long,1,Festen,Festes,10.5,"kostümierte Bälle, die immer zu den animierten [Festen] gehörten",ONB_wsb_19230901.xml,12,facs_12_tr_1750157507_tl_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,einer,einem,10.2,"hammed Hassanein Bey, eingeholt worden war. In [einer] zweispännigen",ONB_wsb_19320522.xml,2,facs_2_tr_1761041303_tl_10,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,long,1,unseren,unserem,11.6,trauen auf den Allmächtigen habe ich den von [unseren] gemeinsamen,ONB_wsb_19141114.xml,2,facs_2_tr_1784277105_tl_5,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=2
n,>=10,long,1,gehe,geht,10.1,zelnen Gegenstände nunmehr recht flott vonstatten [gehe] damit,ONB_wsb_19190525.xml,12,facs_12_tr_1732823306_tl_2,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=12
n,>=10,long,1,Mayen,Mayer,10.5,"Paul v. Pesthy und Gemahlin, Ackerbaumin. Johann [Mayen] Graf",ONB_wsb_19260516.xml,4,facs_4_tr_1752222673_tl_12,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
n,>=10,long,1,Gesandten,Gesandter,11.4,"den peruan. Gesandten v. d. Heyde, den bulgar. [Gesandten] Rizow",ONB_wsb_19160401.xml,7,facs_7_l_4,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=7
n,>=10,short,0,Ley,Leo,10.2,Herr [Ley]  [paragraph ends],ONB_wsb_19260110.xml,14,facs_14_tr_1752222482_tl_7,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=14
n,>=10,short,0,ab,am,10.2,an und stieg im »Hotel Panhans« [ab]  [paragraph ends],ONB_wsb_19170728.xml,4,facs_4_tr_1779048970_tl_3,paragraph,https://beta.transkribus.org/collection/XXXXXX/doc/XXXXXXX/edit?pageNr=4
